session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	exp_check1	exp_check2	exp_check3	exp_check4	exp_check5	exp_check6	learnCond	order	expBlack	expWhite	expDiff
14322430	932.45	1101.6	459.2222091	-0.368340199	Male	Neutral	Asian	us	37	0.36	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	53	48	0	2	82	-1	-2	-1	82	80	None of the black famous people were bad/criminal people.	Most black famous individuals were famous for good reasons while most white people were the opposite.	1	1	2	2	Experimental	Incongruent first	27.2	41.4	14.2
14322452	1030.425	1126.8	746.3552365	-0.129127519	Male	Moderately liberal	White	us	21	0.13	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	53	5	-1	-2	1	3	-2	1	5	4	no	jail	2	2	1	2	Experimental	Incongruent first	10.8	2.6	-8.2
14322535	870.55	750.8	423.6083328	-0.282690379	Male	Moderately liberal	White	us	23	0.28	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	1	0	0	1	0	32	-1	-11	26	-32	The white famous americans were not good people	They were african american	1	1	2	2	Experimental	Congruent first	6.8	-3.6	-10.4
14322759	616.75	577.725	272.5469763	0.143186325	Female	Neutral	Hispanic	us	18	-0.18	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	95	92	1	-1	0	0	2	1	-2	0	NA	NA	NA	NA	NA	NA	Control	Incongruent first	19	18.6	-0.4
14323145	1011.65	1104.15	460.1037197	-0.201041626	Female	Moderately liberal	White	us	35	0.19	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	42	-1	12	0	-1	12	0	-1	0	-9	"The white people were criminals, and the Black people were entertainers. All were men."	They were Black whereas the disliked ones were white.	1	1	2	2	Experimental	Incongruent first	13	-2.2	-15.2
14323272	763.15	794.75	569.4985558	0.05548741	Male	Slightly conservative	White	us	21	-0.02	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	50	49	61	60	67	71	61	59	68	59	NA	NA	NA	NA	NA	NA	Control	Congruent first	61.8	59.2	-2.6
14323390	901.65	807.475	422.5571894	0.222869241	Female	Strongly liberal	White	us	22	-0.22	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-2	0	1	0	0	1	0	0	0	0	NA	NA	NA	NA	NA	NA	Control	Incongruent first	0	0	0
14323417	495.925	675.2	227.9014801	0.786633768	Female	Strongly conservative	Black	us	19	-0.79	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	21	12	1	0	16	11	-2	-1	23	30	NA	NA	NA	NA	NA	NA	Control	Congruent first	9.8	12.4	2.6
14323423	946.65	806.35	398.9517277	0.351671619	Male	Slightly conservative	Multiracial	us	110	-0.34	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-4	-4	0	-1	-1	-1	0	-1	-1	0	"Yeah, you only included perceived GOOD BLACK Americans,and perceived, BAD WHITE Americans,"	"The generally admired individuals were Black, and the generally disliked individuals were White."	1	1	2	2	Experimental	Incongruent first	-1.4	-1.2	0.2
14323459	995.675	908.5	673.1741399	0.129498439	Female	Neutral	Hispanic	us	20	-0.13	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	2	3	1	-1	1	-1	-1	-1	-2	-1	some were delinquents	NA	1	1	2	2	Experimental	Incongruent first	0.4	-0.4	-0.8
14323928	1133.2	1172.45	861.7757319	0.045545492	Female	Moderately liberal	White	us	41	-0.05	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	26	19	42	3	0	4	50	1	3	23	They were mostly criminals	they were positive role models	1	1	2	2	Experimental	Congruent first	15	19.2	4.2
14323982	841.7	756.75	441.1340958	0.19257183	Female	Moderately liberal	Asian	us	43	-0.2	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	20	-28	28	38	35	26	-22	-41	-36	-47	NA	NA	NA	NA	NA	NA	Control	Incongruent first	29.4	-34.8	-64.2
14324052	685.4	899.975	298.3921298	0.719104087	Other	Slightly liberal	White	us	17	-0.67	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	44	-7	66	67	52	99	85	-1	-98	14	NA	NA	NA	NA	NA	NA	Control	Congruent first	65.6	-1.4	-67
14324141	1054.875	743.5	909.972111	-0.342180817	Female	Neutral	Multiracial	us	15	0.33	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	96	89	5	2	5	3	-1	-2	1	-2	"jefery dahmer, micheal jordan, ted bundy, martin luther king"	they had people who were really good people and then they had some really bad people as well	2	3	3	2	Experimental	Congruent first	22.2	17	-5.2
14324232	1123.425	938.75	432.6682359	0.42682819	Female	Neutral	Hispanic	us	35	-0.41	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	1	2	80	89	5	83	81	79	79	81	yes	yes	1	1	4	2	Experimental	Incongruent first	51.6	64.4	12.8
14324315	1354.775	992.15	642.8424998	0.564096182	Female	Neutral	White	us	63	-0.55	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	6	13	0	-1	0	-2	-1	-1	-2	-2	All criminals	Black were systematically admired	1	1	2	3	Experimental	Incongruent first	0.6	1.4	0.8
14324445	1001.225	759.8	384.8607834	-0.627304756	Male	Moderately liberal	Asian	us	47	0.62	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	1	7	62	59	48	50	65	60	51	46	Yes	Yes	1	1	2	2	Experimental	Congruent first	44	45.8	1.8
14324480	686.925	1048.725	452.8788022	0.798889235	Female	Slightly conservative	White	us	35	-0.78	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-11	22	-1	0	-11	-7	9	0	0	9	NA	NA	NA	NA	NA	NA	Control	Congruent first	-6	8	14
14324483	885.8	797.1	336.4491761	0.263635658	Female	Strongly conservative	White	us	34	-0.26	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	6	-72	50	62	74	67	57	48	51	52	na	na	2	4	3	1	Experimental	Incongruent first	51.8	27.2	-24.6
14324492	1308.15	1218.871795	1256.243594	-0.07106759	Female	Strongly conservative	White	us	55	0.07	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	67	82	63	78	-2	1	-3	-1	2	-3	They were all bad guys	The admired were black the ones not admired were white.	1	1	2	2	Experimental	Congruent first	41.4	15.4	-26
14324504	1029.275	1206.05	1069.295023	0.165319202	Female	Slightly conservative	Asian	us	49	-0.17	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-2	4	0	-2	-1	-3	-4	-1	-2	1	NA	NA	NA	NA	NA	NA	Control	Congruent first	-1.6	-0.4	1.2
14324523	925.8974359	1259.175	452.8729385	0.735918479	Male	Moderately liberal	White	us	64	-0.73	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	15	14	15	14	10	15	12	10	7	18	NA	NA	NA	NA	NA	NA	Control	Congruent first	13.8	12.2	-1.6
14324554	1230.875	1475.435897	1183.917589	-0.20656919	Female	Moderately liberal	White	us	40	0.21	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	7	-5	4	7	-1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	Control	Incongruent first	3.4	-0.8	-4.2
14324585	1708.128205	946.65	1241.077568	0.613562137	Female	Moderately conservative	White	us	16	-0.61	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	100	100	40	-1	-2	-1	48	-2	1	-1	yes	yes	2	1	2	2	Experimental	Incongruent first	27.2	29.2	2
14324598	831.925	1393.475	901.1495247	0.623148528	Male	Slightly conservative	Hispanic	us	31	-0.59	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	6	77	5	10	5	9	5	5	-2	0	NA	NA	NA	NA	NA	NA	Control	Congruent first	7	17	10
14324600	884.3	826.55	398.3402202	0.144976573	Female	Strongly conservative	White	us	19	-0.14	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	48	39	26	31	-15	45	29	23	-21	43	NA	NA	NA	NA	NA	NA	Control	Incongruent first	27	22.6	-4.4
14324606	551.375	542.1	75.84289954	0.122292265	Male	Strongly liberal	White	us	33	-0.12	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	13	20	2	13	0	0	7	-6	3	-11	NA	NA	NA	NA	NA	NA	Control	Incongruent first	5.6	2.6	-3
14324621	870.35	724.1	484.9835956	0.301556591	Male	Strongly conservative	White	us	19	-0.28	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	1	3	11	52	1	0	20	18	3	18	NA	NA	NA	NA	NA	NA	Control	Incongruent first	13	12.4	-0.6
