session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	learnCond	order	expBlack	expWhite	expDiff
14136135	1703.564103	1996.684211	1630.971825	0.179721135	Female	Neutral	Black	us	42	-0.18	"White Names/Pleasant Words,Black Names/Unpleasant Words"	84	88	97	1	92	93	92	94	-2	-3	Control	Congruent first	73.4	53.8	-19.6
14136148	680.9	767.95	223.2176536	0.389978116	Male	Moderately liberal	Hispanic	us	35	-0.39	"White Names/Pleasant Words,Black Names/Unpleasant Words"	37	5	39	1	31	32	26	24	-1	18	Experimental	Congruent first	28	14.4	-13.6
14136196	1381.125	1320.675	861.6281409	-0.070157876	Female	Slightly conservative	White	us	45	0.07	"White Names/Pleasant Words,Black Names/Unpleasant Words"	14	10	93	0	1	0	-3	90	-2	-1	Experimental	Congruent first	21.6	18.8	-2.8
14136242	1570.55	1487.875	1282.027229	0.06448771	Female	Moderately liberal	Hispanic	us	20	-0.06	"Black Names/Pleasant Words,White Names/Unpleasant Words"	49	-52	85	2	1	72	-1	-55	-1	-22	Control	Incongruent first	41.8	-26.2	-68
14136273	1111.7	766.75	355.1573007	0.971259775	Male	Slightly conservative	White	us	26	-0.97	"Black Names/Pleasant Words,White Names/Unpleasant Words"	1	0	0	2	0	1	-1	0	0	0	Control	Incongruent first	0.8	-0.2	-1
14136310	821.05	861.075	325.1228918	0.123107296	Male	Moderately conservative	Asian	us	45	-0.12	"White Names/Pleasant Words,Black Names/Unpleasant Words"	1	-4	98	-2	1	98	95	-2	0	97	Control	Congruent first	39.2	37.2	-2
14136400	730.9	905.925	535.0548225	0.327116012	Female	Neutral	White	us	28	-0.32	"Black Names/Unpleasant Words,White Names/Pleasant Words"	40	95	10	25	25	7	32	-4	-27	78	Experimental	Congruent first	21.4	34.8	13.4
14136467	617.05	727.925	167.1512613	0.663321348	Male	Neutral	Multiracial	us	32	-0.66	"Black Names/Unpleasant Words,White Names/Pleasant Words"	57	67	1	2	2	0	2	5	2	3	Experimental	Congruent first	12.4	15.8	3.4
14136491	776.075	1041.05	494.5126701	0.535830558	Female	Neutral	White	us	19	-0.53	"Black Names/Unpleasant Words,White Names/Pleasant Words"	9	0	98	46	2	14	95	-24	-4	-1	Control	Congruent first	33.8	13.2	-20.6
14136522	849.325	1074.102564	855.8613318	0.262633158	Male	Neutral	Black	us	25	-0.26	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	99	46	45	49	47	52	47	44	50	Experimental	Congruent first	57.4	58.4	1
14136533	1145.225	1456.875	623.2993856	0.500000493	Other	Neutral	White	us	19	-0.49	"White Names/Pleasant Words,Black Names/Unpleasant Words"	64	-2	99	12	32	44	100	-7	-18	-13	Experimental	Congruent first	50.2	12	-38.2
14136550	817.825	741.5	265.2538762	0.287743203	Female	Slightly liberal	White	us	22	-0.29	"Black Names/Pleasant Words,White Names/Unpleasant Words"	4	3	10	-2	1	0	-10	-5	-72	-8	Experimental	Incongruent first	2.6	-18.4	-21
14136566	1419.475	1280.575	572.4090769	0.242658626	Male	Slightly conservative	Middle Eastern	us	44	-0.24	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-20	37	7	13	5	86	45	11	36	34	Control	Incongruent first	18.2	32.6	14.4
14136604	1335.375	1984.625	856.6558767	0.757888923	Male	Neutral	Hispanic	us	32	-0.74	"Black Names/Unpleasant Words,White Names/Pleasant Words"	31	0	-1	-1	-4	-1	21	-1	-4	1	Control	Congruent first	4.8	3.4	-1.4
14136614	2201.25641	1574.875	1101.046141	0.568896604	Female	Strongly conservative	Asian	us	20	-0.55	"Black Names/Pleasant Words,White Names/Unpleasant Words"	100	100	100	-1	100	64	100	-1	0	39	Experimental	Incongruent first	72.6	47.6	-25
14136640	1056.35	969.3	525.9255801	-0.165517714	Female	Slightly liberal	Black	us	26	0.16	"White Names/Pleasant Words,Black Names/Unpleasant Words"	98	-41	100	99	43	60	11	13	-28	-31	Control	Congruent first	80	-15.2	-95.2
14136656	753.25	668.25	172.7605719	0.492010411	Male	Moderately liberal	White	us	23	-0.48	"White Names/Unpleasant Words,Black Names/Pleasant Words"	84	100	69	99	80	73	100	84	78	96	Experimental	Incongruent first	81	91.6	10.6
14136679	1593.2	1170.05	767.0018628	0.551693575	Female	Moderately liberal	White	us	26	-0.54	"Black Names/Pleasant Words,White Names/Unpleasant Words"	11	4	26	0	1	-1	1	-3	1	-2	Control	Incongruent first	7.4	0.2	-7.2
14136734	1299.025	1100.725	1027.596327	-0.19297461	Female	Moderately liberal	Black	us	22	0.19	"White Names/Pleasant Words,Black Names/Unpleasant Words"	36	-13	53	-1	1	1	-7	-1	0	0	Control	Congruent first	18	-4.2	-22.2
14136751	766.375	1055.475	477.9507356	0.604874056	Female	Moderately conservative	White	us	24	-0.59	"White Names/Pleasant Words,Black Names/Unpleasant Words"	74	99	98	-5	79	99	99	0	53	65	Control	Congruent first	69	63.2	-5.8
