session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	exp_check1	exp_check2	exp_check3	exp_check4	learnCond	order	expBlack	expWhite	expDiff
14228430	912.775	1567.75	645.9957037	1.013899932	Female	Strongly conservative	White	us	52	-0.99	"White Names/Pleasant Words,Black Names/Unpleasant Words"	11	NA	2	0	2	1	2	3	4	0	NA	NA	NA	NA	Control	Congruent first	3.2	2.25	-0.95
14228465	1087.625	1090.75	380.1880312	-0.008219617	Female	Slightly liberal	White	us	59	0.01	"White Names/Unpleasant Words,Black Names/Pleasant Words"	18	8	2	2	0	9	0	0	-9	-12	NA	NA	NA	NA	Control	Incongruent first	6.2	-2.6	-8.8
14228491	889.6666667	1205.425	617.740357	0.511150566	Female	Neutral	Asian	us	57	-0.51	"White Names/Pleasant Words,Black Names/Unpleasant Words"	1	-3	1	-1	2	-1	-2	-1	-1	-2	NA	NA	NA	NA	Control	Congruent first	0.4	-1.8	-2.2
14228555	1403.575	1679.575	1117.735808	0.246927761	Female	Neutral	White	us	29	-0.24	"Black Names/Unpleasant Words,White Names/Pleasant Words"	100	99	1	1	3	-1	0	1	-1	2	NA	NA	NA	NA	Control	Congruent first	20.8	20.2	-0.6
14228571	871.225	1072.25	473.6049666	0.42445712	Male	Slightly liberal	White	us	59	-0.42	"Black Names/Unpleasant Words,White Names/Pleasant Words"	79	77	99	98	0	85	97	52	0	55	NA	NA	NA	NA	Control	Congruent first	72.2	56.2	-16
14228809	751.85	958.1	337.2856647	0.611499455	Male	Neutral	White	us	37	-0.61	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-12	1	-1	0	-1	-2	0	-4	-5	-3	N/A	N/A	2	3	Experimental	Congruent first	-3.2	-2.2	1
14228813	873.875	1662.275	785.8126129	1.003292626	Female	Neutral	White	us	19	-0.99	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-3	-19	99	1	-1	1	98	-1	0	31	They were only black and white	Most of the disliked were whites	1	1	Experimental	Congruent first	19.4	21.8	2.4
14228852	1251.4	1619.125	829.6249686	0.443242446	Male	Moderately liberal	White	us	28	-0.43	"White Names/Pleasant Words,Black Names/Unpleasant Words"	43	47	24	32	0	67	-1	5	-2	99	all of the whites were criminals and the blacks were celebrities	disliked individuals committed hanous crimes	1	1	Experimental	Congruent first	33.2	29.6	-3.6
14228940	731.425	654.225	214.9747571	0.35911193	Female	Slightly liberal	Asian	us	19	-0.25	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-2	-2	9	-1	0	0	24	-15	-12	1	NA	NA	NA	NA	Control	Incongruent first	1.2	-0.8	-2
14228996	1075.4	1261.2	630.522014	0.294676468	Male	Neutral	Asian	us	30	-0.29	"White Names/Pleasant Words,Black Names/Unpleasant Words"	98	99	0	8	0	9	1	3	3	3	NA	NA	NA	NA	Control	Congruent first	23	21.8	-1.2
14229032	1103.725	1013.325	414.3502761	0.218172897	Male	Strongly conservative	White	us	28	-0.22	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-1	-1	-1	-1	-1	0	-1	0	0	-1	NA	NA	NA	NA	Control	Incongruent first	-0.8	-0.6	0.2
14229097	2240.9	1443.35	1212.534738	0.657754351	Male	Neutral	White	us	18	-0.65	"Black Names/Pleasant Words,White Names/Unpleasant Words"	0	-4	50	100	42	100	34	-33	-51	-30	NA	NA	NA	NA	Control	Incongruent first	58.4	-16.8	-75.2
14229273	1073.775	1245.325	836.5240302	0.205074802	Female	Moderately liberal	Black	us	24	-0.2	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-1	-3	100	100	100	100	100	100	100	100	the white people were killers	the admired people were famous and black	1	1	Experimental	Congruent first	79.8	79.4	-0.4
