session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	exp_check1	exp_check2	exp_check3	exp_check4	exp_check5	exp_check6	learnCond	order	expBlack	expWhite	expDiff
14367442	1123.1	954.975	1110.996627	-0.151328092	Female	Moderately liberal	white	us	55	0.15	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	86	90	52	40	2	46	20	0	-3	1	NA	NA	NA	NA	NA	NA	Control	Congruent first	45.2	21.6	-23.6
14367443	832.85	737.2	423.1598129	0.226037533	Female	Strongly liberal	white	us	18	-0.22	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	32	27	11	2	1	3	0	-13	3	-1	NA	NA	NA	NA	NA	NA	Control	Incongruent first	9.8	3.2	-6.6
14367480	934.65	1131.875	469.5376326	0.420040879	Female	Moderately liberal	white	us	53	-0.4	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	99	98	-1	1	2	3	0	0	2	2	no	no	2	4	4	1	Experimental	Congruent first	20.8	20.4	-0.4
14367515	813.975	958.8	504.3778595	-0.287135919	Female	Strongly liberal	white	us	58	0.29	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	94	91	-1	0	1	-1	1	-1	-1	0	"The African Americans were either singers, actors, or politic persons good the Whites were bad serial killers, etc."	Blacks and Whites famous but disliked	1	1	2	2	Experimental	Incongruent first	18.6	18	-0.6
14367546	1574.675	1345.675	1097.008542	0.208749514	Male	Moderately liberal	white	us	34	-0.2	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	2	-1	2	37	0	35	-1	52	-1	45	NA	NA	NA	NA	NA	NA	Control	Incongruent first	15.2	18.8	3.6
14367555	1129.95	986.6	683.9980749	0.209576613	Male	Moderately liberal	white	us	28	-0.21	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	9	-15	100	47	23	0	99	-30	-1	-1	Most of the white individuals were convicted killers/terrorists	That the races started to divert into whites being monsters and blacks being more talented or generous people.	1	1	2	3	Experimental	Incongruent first	35.8	10.4	-25.4
14367623	1022.55	691.575	462.6208865	0.715434624	Male	Slightly liberal	white	us	47	-0.7	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	2	-5	-1	-1	-1	-1	-2	-1	-2	-1	"Only positive Black American individuals were depicted, while many negative White Americans were depicted."	Positive Black Americans were primarily shown while negative White Americans were primarily shown.	1	1	2	3	Experimental	Incongruent first	-0.4	-2.2	-1.8
14367702	662.45	865.1	265.4492717	0.763422701	NA	Slightly conservative	white	us	17	-0.76	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-3	-2	67	97	100	74	92	71	71	68	"The white americans were all criminals, while the black americans were all celebrities and nice people"	"The black individuals were admired, the white individuals were disliked"	1	1	2	2	Experimental	Congruent first	67	60	-7
14367883	687.625	853.75	292.7587071	0.567446829	Male	Neutral	white	us	29	-0.57	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	23	56	17	64	39	42	83	78	56	67	I noticed most white were serial killers or mobsters.While most black American were idols and stars.	disliked where white Americans	1	1	2	2	Experimental	Congruent first	37	68	31
14368340	1264.075	1439.175	820.5342251	0.213397558	Female	Moderately conservative	white	us	70	-0.21	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-1	-1	17	26	22	24	16	13	19	22	"White people were criminals, Black people were actors or politicians"	"admired were black, white were generally disliked"	1	1	2	2	Experimental	Congruent first	17.6	13.8	-3.8
