session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	exp_check1	exp_check2	exp_check3	exp_check4	exp_check5	exp_check6	learnCond	order	expBlack	expWhite	expDiff
14598364	997.3	1290.275	409.7981193	0.714925194	Male	Moderately conservative	White	us	26	-0.71	"Black Names/Unpleasant Words,White Names/Pleasant Words"	1	0	-13	-10	-14	-11	14	13	13	9	All the white individuals were criminals while the black individuals were successful celebrities	"Famous individuals who are admired tended to bring some good into the world, famous individuals who are generally disliked tended to commit some terrible crime."	1	1	2	2	Experimental	Congruent first	-9.4	9.8	19.2
14598461	1564.625	1033.075	960.970858	0.553138522	Female	Moderately liberal	White	us	66	-0.55	"White Names/Unpleasant Words,Black Names/Pleasant Words"	28	49	0	100	100	100	1	71	100	73	NA	NA	NA	NA	NA	NA	Control	Incongruent first	65.6	58.8	-6.8
14598642	1049.575	1142.05	613.3759063	0.150763992	Male	Neutral	Black	us	30	-0.15	"White Names/Pleasant Words,Black Names/Unpleasant Words"	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Control	Congruent first	86	NA	NA
14598873	840.725	1657.75	650.1814595	1.256610732	Female	Moderately liberal	White	us	40	-1.19	"Black Names/Unpleasant Words,White Names/Pleasant Words"	-21	1	-1	1	-1	-2	-1	-2	-1	-1	NA	NA	NA	NA	NA	NA	Control	Congruent first	-4.8	-0.8	4
14598974	1045.375	1273.05	652.1414519	0.349119044	Female	Moderately conservative	White	us	56	-0.35	"White Names/Pleasant Words,Black Names/Unpleasant Words"	89	86	-4	0	1	1	2	-2	0	-2	NA	NA	NA	NA	NA	NA	Control	Congruent first	17.4	16.8	-0.6
14599103	815.925	997.375	407.4795359	0.445298436	Male	Slightly conservative	White	us	31	-0.44	"Black Names/Unpleasant Words,White Names/Pleasant Words"	3	6	-7	17	15	-14	3	-8	-5	-11	NA	NA	NA	NA	NA	NA	Control	Congruent first	2.8	-3	-5.8
14599124	1302.175	1642.05	860.3211351	0.395055969	Female	Neutral	Multiracial	us	53	-0.38	"Black Names/Unpleasant Words,White Names/Pleasant Words"	3	0	-1	1	0	0	-1	-1	-1	-1	bad	no	1	1	2	2	Experimental	Congruent first	0.6	-0.8	-1.4
14599142	1065.7	948.825	385.4456157	0.303220468	Male	Neutral	White	us	43	-0.3	"White Names/Unpleasant Words,Black Names/Pleasant Words"	80	76	18	-1	0	0	51	0	-1	0	NA	NA	NA	NA	NA	NA	Control	Incongruent first	19.4	25.2	5.8
14599270	593.425	747.2	245.4701814	-0.626450835	Female	Neutral	White	us	20	0.62	"Black Names/Pleasant Words,White Names/Unpleasant Words"	-2	-2	67	93	81	55	65	16	23	4	some of them had accomplishments and crimes as options	no	2	1	2	2	Experimental	Incongruent first	58.8	21.2	-37.6
14599552	640.9	782.5	190.8811281	0.741822942	Male	Strongly conservative	Black	us	44	-0.72	"White Names/Pleasant Words,Black Names/Unpleasant Words"	2	3	0	1	-1	-1	0	-1	1	0	NA	NA	NA	NA	NA	NA	Control	Congruent first	0.2	0.6	0.4
14599662	1595.25	1420.275	934.9903573	0.187140967	Female	Slightly liberal	White	us	55	-0.18	"White Names/Unpleasant Words,Black Names/Pleasant Words"	56	44	-1	17	0	1	-3	0	3	38	NA	NA	NA	NA	NA	NA	Control	Incongruent first	14.6	16.4	1.8
14599664	1083.615385	1008.05	957.0251857	0.078958616	Female	Strongly liberal	Black	us	21	-0.08	"Black Names/Pleasant Words,White Names/Unpleasant Words"	100	85	98	58	66	97	95	46	56	35	NA	NA	1	1	2	2	Experimental	Incongruent first	83.8	63.4	-20.4
14599682	961.7	913.5	429.9446123	0.112107464	Female	Slightly liberal	White	us	38	-0.11	"White Names/Unpleasant Words,Black Names/Pleasant Words"	47	37	0	0	0	-1	0	0	0	-2	they were villainous	they were highly revered black americans compared to villainous white americans	1	1	2	2	Experimental	Incongruent first	9.2	7	-2.2
14599742	753.35	791.625	275.9583528	0.138698465	Female	Slightly liberal	Black	us	32	-0.14	"White Names/Pleasant Words,Black Names/Unpleasant Words"	90	67	98	98	72	72	98	68	61	62	The white people were all criminals. The black people were famous or in politics.	The ones admired were black. The disliked were white.	1	1	2	2	Experimental	Congruent first	86	71.2	-14.8
14599883	945.325	966.125	384.4046515	-0.054109647	Female	Strongly liberal	Multiracial	us	67	0.05	"Black Names/Pleasant Words,White Names/Unpleasant Words"	42	42	1	0	82	1	-1	0	-1	-4	Whites were bad Blacks were good	Criminals disliked; celebrities admired	1	1	2	2	Experimental	Incongruent first	25.2	7.2	-18
14599918	1435.3	1638.9	810.6613584	0.25115296	Male	Strongly liberal	White	us	53	-0.24	"White Names/Pleasant Words,Black Names/Unpleasant Words"	-1	15	1	1	1	12	0	1	-5	1	NA	NA	NA	NA	NA	NA	Control	Congruent first	2.8	2.4	-0.4
14599920	604.275	870.55	318.6792639	0.835557974	Female	Moderately conservative	White	us	21	-0.86	"Black Names/Unpleasant Words,White Names/Pleasant Words"	55	73	68	67	67	62	68	80	62	78	Most of them were bad people.	Some were white and some were black.	2	4	2	2	Experimental	Congruent first	63.8	72.2	8.4
14599922	980.65	764.9	361.6081163	0.596640369	Female	Slightly conservative	White	us	39	-0.6	"White Names/Unpleasant Words,Black Names/Pleasant Words"	-13	0	1	1	1	0	0	0	0	0	the white Americans were criminals and the black americans were leaders or performers	the admired famous individuals were black and the disliked individuals were white	1	1	2	2	Experimental	Incongruent first	-2	0	2
