session_id	 user_id	 study_name	 session_date	 session_status	 creation_date	 last_update_date	  previous_session_id	 previous_session_schema	 referrer	  study_url	 user_agent
14322417	11700684	alexandersanchez.exemplars4	04May2021 03:24:49	null	04May2021 03:24:49	NULL 	2657316627	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko
14322426	11700163	alexandersanchez.exemplars4	04May2021 03:27:28	null	04May2021 03:27:28	NULL 	0	null	https://l.facebook.com/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322430	11700683	alexandersanchez.exemplars4	04May2021 03:28:12	null	04May2021 03:28:12	NULL 	14322418	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 Edg/89.0.774.77
14322434	11700687	alexandersanchez.exemplars4	04May2021 03:30:07	null	04May2021 03:30:07	NULL 	2657316702	s	https://www.edutopia.org/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322441	11700680	alexandersanchez.exemplars4	04May2021 03:32:09	null	04May2021 03:32:09	NULL 	14322408	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Safari/605.1.15
14322452	11700212	alexandersanchez.exemplars4	04May2021 03:34:34	null	04May2021 03:34:34	NULL 	0	null	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36
14322460	11700686	alexandersanchez.exemplars4	04May2021 03:37:29	null	04May2021 03:37:29	NULL 	14322443	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322468	11700694	alexandersanchez.exemplars4	04May2021 03:40:01	null	04May2021 03:40:01	NULL 	14322450	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322535	11700233	alexandersanchez.exemplars4	04May2021 03:51:24	null	04May2021 03:51:24	NULL 	14322530	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36
14322549	11700699	alexandersanchez.exemplars4	04May2021 03:54:22	null	04May2021 03:54:22	NULL 	14322547	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15
14322562	11700691	alexandersanchez.exemplars4	04May2021 03:56:55	null	04May2021 03:56:55	NULL 	14322560	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322679	11700706	alexandersanchez.exemplars4	04May2021 04:19:03	null	04May2021 04:19:03	NULL 	14322551	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15
14322682	11700709	alexandersanchez.exemplars4	04May2021 04:19:23	null	04May2021 04:19:23	NULL 	14322623	r	https://resources.lmu.edu/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322695	11700718	alexandersanchez.exemplars4	04May2021 04:21:45	null	04May2021 04:21:45	NULL 	0	null	https://www.bing.com/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 Edg/90.0.818.51
14322759	11700713	alexandersanchez.exemplars4	04May2021 04:25:04	null	04May2021 04:25:04	NULL 	14322618	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322813	11700722	alexandersanchez.exemplars4	04May2021 04:26:18	null	04May2021 04:26:18	NULL 	14322775	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14322929	11700721	alexandersanchez.exemplars4	04May2021 04:32:15	null	04May2021 04:32:15	NULL 	14322822	r	https://implicit.harvard.edu/implicit/research/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.3 Safari/605.1.15
14322966	11700728	alexandersanchez.exemplars4	04May2021 04:38:53	null	04May2021 04:38:53	NULL 	14322965	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0
14323017	11394246	alexandersanchez.exemplars4	04May2021 04:47:41	null	04May2021 04:47:41	NULL 	0	null	https://aandrews08.wixsite.com/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36
14323129	11700741	alexandersanchez.exemplars4	04May2021 05:34:24	null	04May2021 05:34:24	NULL 	14323098	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 Edg/90.0.818.51
14323145	11697585	alexandersanchez.exemplars4	04May2021 05:40:39	null	04May2021 05:40:39	NULL 	0	null	https://implicit.harvard.edu/implicit/research/registration/Register.jsp	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36
14323149	11698469	alexandersanchez.exemplars4	04May2021 05:41:09	null	04May2021 05:41:09	NULL 	14323147	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36
14323154	11700748	alexandersanchez.exemplars4	04May2021 05:44:31	null	04May2021 05:44:31	NULL 	14323152	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15
14323179	11700751	alexandersanchez.exemplars4	04May2021 05:51:58	null	04May2021 05:51:58	NULL 	14323177	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars4/alexandersanchez.exemplars4.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 Edg/90.0.818.51
