characteristic	 value	 user_id	 study_name	 
birthmonth	1	189992	alexandersanchez.exemplars8
politicalid	1	189992	alexandersanchez.exemplars8
birthyear	1969	189992	alexandersanchez.exemplars8
genoccupation	25-	189992	alexandersanchez.exemplars8
occupation	25-2000	189992	alexandersanchez.exemplars8
education	7	189992	alexandersanchez.exemplars8
gender	f	189992	alexandersanchez.exemplars8
religion	null	189992	alexandersanchez.exemplars8
religionid	null	189992	alexandersanchez.exemplars8
state	null	189992	alexandersanchez.exemplars8
citizenship	us	189992	alexandersanchez.exemplars8
residence	us	189992	alexandersanchez.exemplars8
raceethnic	white	189992	alexandersanchez.exemplars8
religionid	1	704682	alexandersanchez.exemplars8
genoccupation	11-	704682	alexandersanchez.exemplars8
occupation	11-9000	704682	alexandersanchez.exemplars8
birthyear	1979	704682	alexandersanchez.exemplars8
politicalid	2	704682	alexandersanchez.exemplars8
birthmonth	8	704682	alexandersanchez.exemplars8
education	8	704682	alexandersanchez.exemplars8
relfamily	atheist	704682	alexandersanchez.exemplars8
gender	f	704682	alexandersanchez.exemplars8
state	ma	704682	alexandersanchez.exemplars8
religion	none	704682	alexandersanchez.exemplars8
residence	sm	704682	alexandersanchez.exemplars8
citizenship	us	704682	alexandersanchez.exemplars8
raceethnic	white	704682	alexandersanchez.exemplars8
politicalid	1	871911	alexandersanchez.exemplars8
birthmonth	11	871911	alexandersanchez.exemplars8
education	13	871911	alexandersanchez.exemplars8
birthyear	1965	871911	alexandersanchez.exemplars8
religionid	2	871911	alexandersanchez.exemplars8
genoccupation	23-	871911	alexandersanchez.exemplars8
occupation	23-1000	871911	alexandersanchez.exemplars8
state	co	871911	alexandersanchez.exemplars8
relfamily	conservative	871911	alexandersanchez.exemplars8
religion	jewish	871911	alexandersanchez.exemplars8
gender	m	871911	alexandersanchez.exemplars8
citizenship	us	871911	alexandersanchez.exemplars8
residence	us	871911	alexandersanchez.exemplars8
raceethnic	white	871911	alexandersanchez.exemplars8
birthmonth	1	989039	alexandersanchez.exemplars8
education	13	989039	alexandersanchez.exemplars8
birthyear	1970	989039	alexandersanchez.exemplars8
genoccupation	25-	989039	alexandersanchez.exemplars8
occupation	25-9000	989039	alexandersanchez.exemplars8
politicalid	3	989039	alexandersanchez.exemplars8
religionid	3	989039	alexandersanchez.exemplars8
religion	catholic	989039	alexandersanchez.exemplars8
gender	f	989039	alexandersanchez.exemplars8
relfamily	romancatholic	989039	alexandersanchez.exemplars8
citizenship	us	989039	alexandersanchez.exemplars8
residence	us	989039	alexandersanchez.exemplars8
raceethnic	white	989039	alexandersanchez.exemplars8
state	wi	989039	alexandersanchez.exemplars8
birthmonth	12	1028193	alexandersanchez.exemplars8
birthyear	1966	1028193	alexandersanchez.exemplars8
religionid	2	1028193	alexandersanchez.exemplars8
genoccupation	21-	1028193	alexandersanchez.exemplars8
occupation	21-1000	1028193	alexandersanchez.exemplars8
politicalid	3	1028193	alexandersanchez.exemplars8
education	9	1028193	alexandersanchez.exemplars8
raceethnic	black	1028193	alexandersanchez.exemplars8
gender	f	1028193	alexandersanchez.exemplars8
state	mi	1028193	alexandersanchez.exemplars8
relfamily	null	1028193	alexandersanchez.exemplars8
religion	protestant	1028193	alexandersanchez.exemplars8
citizenship	us	1028193	alexandersanchez.exemplars8
residence	us	1028193	alexandersanchez.exemplars8
politicalid	1	1040632	alexandersanchez.exemplars8
birthmonth	12	1040632	alexandersanchez.exemplars8
birthyear	1954	1040632	alexandersanchez.exemplars8
genoccupation	25-	1040632	alexandersanchez.exemplars8
occupation	25-1000	1040632	alexandersanchez.exemplars8
religionid	3	1040632	alexandersanchez.exemplars8
education	9	1040632	alexandersanchez.exemplars8
religion	catholic	1040632	alexandersanchez.exemplars8
gender	f	1040632	alexandersanchez.exemplars8
state	in	1040632	alexandersanchez.exemplars8
relfamily	romancatholic	1040632	alexandersanchez.exemplars8
residence	sm	1040632	alexandersanchez.exemplars8
citizenship	us	1040632	alexandersanchez.exemplars8
raceethnic	white	1040632	alexandersanchez.exemplars8
politicalid	0	9994058	alexandersanchez.exemplars8
birthyear	1998	9994058	alexandersanchez.exemplars8
religionid	2	9994058	alexandersanchez.exemplars8
birthmonth	8	9994058	alexandersanchez.exemplars8
education	9	9994058	alexandersanchez.exemplars8
religion	catholic	9994058	alexandersanchez.exemplars8
gender	m	9994058	alexandersanchez.exemplars8
genoccupation	null	9994058	alexandersanchez.exemplars8
relfamily	null	9994058	alexandersanchez.exemplars8
state	ri	9994058	alexandersanchez.exemplars8
citizenship	us	9994058	alexandersanchez.exemplars8
residence	us	9994058	alexandersanchez.exemplars8
raceethnic	white	9994058	alexandersanchez.exemplars8
religionid	1	10001191	alexandersanchez.exemplars8
education	12	10001191	alexandersanchez.exemplars8
birthyear	1978	10001191	alexandersanchez.exemplars8
genoccupation	25-	10001191	alexandersanchez.exemplars8
occupation	25-1000	10001191	alexandersanchez.exemplars8
politicalid	3	10001191	alexandersanchez.exemplars8
birthmonth	8	10001191	alexandersanchez.exemplars8
relfamily	atheist	10001191	alexandersanchez.exemplars8
gender	m	10001191	alexandersanchez.exemplars8
religion	none	10001191	alexandersanchez.exemplars8
state	or	10001191	alexandersanchez.exemplars8
citizenship	us	10001191	alexandersanchez.exemplars8
residence	us	10001191	alexandersanchez.exemplars8
raceethnic	white	10001191	alexandersanchez.exemplars8
religionid	1	10108278	alexandersanchez.exemplars8
birthyear	1946	10108278	alexandersanchez.exemplars8
genoccupation	25-	10108278	alexandersanchez.exemplars8
occupation	25-1000	10108278	alexandersanchez.exemplars8
politicalid	3	10108278	alexandersanchez.exemplars8
birthmonth	7	10108278	alexandersanchez.exemplars8
education	9	10108278	alexandersanchez.exemplars8
gender	f	10108278	alexandersanchez.exemplars8
religion	jewish	10108278	alexandersanchez.exemplars8
state	null	10108278	alexandersanchez.exemplars8
relfamily	secular	10108278	alexandersanchez.exemplars8
citizenship	us	10108278	alexandersanchez.exemplars8
residence	us	10108278	alexandersanchez.exemplars8
raceethnic	white	10108278	alexandersanchez.exemplars8
birthyear	1984	10161865	alexandersanchez.exemplars8
genoccupation	21-	10161865	alexandersanchez.exemplars8
occupation	21-2000	10161865	alexandersanchez.exemplars8
politicalid	3	10161865	alexandersanchez.exemplars8
religionid	3	10161865	alexandersanchez.exemplars8
birthmonth	7	10161865	alexandersanchez.exemplars8
education	9	10161865	alexandersanchez.exemplars8
gender	m	10161865	alexandersanchez.exemplars8
reldenom	pcusa	10161865	alexandersanchez.exemplars8
relfamily	presbyterian	10161865	alexandersanchez.exemplars8
religion	protestant	10161865	alexandersanchez.exemplars8
residence	sm	10161865	alexandersanchez.exemplars8
citizenship	us	10161865	alexandersanchez.exemplars8
state	wa	10161865	alexandersanchez.exemplars8
raceethnic	white	10161865	alexandersanchez.exemplars8
politicalid	0	10192997	alexandersanchez.exemplars8
birthmonth	11	10192997	alexandersanchez.exemplars8
birthyear	1987	10192997	alexandersanchez.exemplars8
religionid	2	10192997	alexandersanchez.exemplars8
genoccupation	2931	10192997	alexandersanchez.exemplars8
occupation	31-9000	10192997	alexandersanchez.exemplars8
education	9	10192997	alexandersanchez.exemplars8
religion	catholic	10192997	alexandersanchez.exemplars8
gender	m	10192997	alexandersanchez.exemplars8
state	mt	10192997	alexandersanchez.exemplars8
raceethnic	native	10192997	alexandersanchez.exemplars8
relfamily	romancatholic	10192997	alexandersanchez.exemplars8
citizenship	us	10192997	alexandersanchez.exemplars8
residence	us	10192997	alexandersanchez.exemplars8
politicalid	-2	10280387	alexandersanchez.exemplars8
education	12	10280387	alexandersanchez.exemplars8
birthyear	1961	10280387	alexandersanchez.exemplars8
birthmonth	2	10280387	alexandersanchez.exemplars8
genoccupation	25-	10280387	alexandersanchez.exemplars8
occupation	25-1000	10280387	alexandersanchez.exemplars8
religionid	4	10280387	alexandersanchez.exemplars8
gender	f	10280387	alexandersanchez.exemplars8
relfamily	notlisted	10280387	alexandersanchez.exemplars8
religion	otherrelig	10280387	alexandersanchez.exemplars8
citizenship	us	10280387	alexandersanchez.exemplars8
residence	us	10280387	alexandersanchez.exemplars8
state	ut	10280387	alexandersanchez.exemplars8
raceethnic	white	10280387	alexandersanchez.exemplars8
religionid	1	10280745	alexandersanchez.exemplars8
birthmonth	12	10280745	alexandersanchez.exemplars8
birthyear	1989	10280745	alexandersanchez.exemplars8
politicalid	2	10280745	alexandersanchez.exemplars8
education	7	10280745	alexandersanchez.exemplars8
state	hi	10280745	alexandersanchez.exemplars8
gender	m	10280745	alexandersanchez.exemplars8
religion	none	10280745	alexandersanchez.exemplars8
genoccupation	null	10280745	alexandersanchez.exemplars8
raceethnic	null	10280745	alexandersanchez.exemplars8
relfamily	othernone	10280745	alexandersanchez.exemplars8
citizenship	us	10280745	alexandersanchez.exemplars8
residence	us	10280745	alexandersanchez.exemplars8
religionid	1	10327972	alexandersanchez.exemplars8
genoccupation	11-	10327972	alexandersanchez.exemplars8
occupation	11-9000	10327972	alexandersanchez.exemplars8
birthmonth	12	10327972	alexandersanchez.exemplars8
birthyear	1970	10327972	alexandersanchez.exemplars8
politicalid	3	10327972	alexandersanchez.exemplars8
education	8	10327972	alexandersanchez.exemplars8
state	ca	10327972	alexandersanchez.exemplars8
gender	f	10327972	alexandersanchez.exemplars8
religion	jewish	10327972	alexandersanchez.exemplars8
relfamily	secular	10327972	alexandersanchez.exemplars8
citizenship	us	10327972	alexandersanchez.exemplars8
residence	us	10327972	alexandersanchez.exemplars8
raceethnic	white	10327972	alexandersanchez.exemplars8
politicalid	0	10380991	alexandersanchez.exemplars8
religionid	1	10380991	alexandersanchez.exemplars8
birthmonth	10	10380991	alexandersanchez.exemplars8
education	13	10380991	alexandersanchez.exemplars8
birthyear	1946	10380991	alexandersanchez.exemplars8
genoccupation	23-	10380991	alexandersanchez.exemplars8
occupation	23-1000	10380991	alexandersanchez.exemplars8
state	dc	10380991	alexandersanchez.exemplars8
gender	f	10380991	alexandersanchez.exemplars8
religion	none	10380991	alexandersanchez.exemplars8
relfamily	null	10380991	alexandersanchez.exemplars8
citizenship	us	10380991	alexandersanchez.exemplars8
residence	us	10380991	alexandersanchez.exemplars8
raceethnic	white	10380991	alexandersanchez.exemplars8
multi_hispanic	1	10470589	alexandersanchez.exemplars8
multi_white	1	10470589	alexandersanchez.exemplars8
religionid	1	10470589	alexandersanchez.exemplars8
birthmonth	11	10470589	alexandersanchez.exemplars8
birthyear	1990	10470589	alexandersanchez.exemplars8
genoccupation	25-	10470589	alexandersanchez.exemplars8
occupation	25-2000	10470589	alexandersanchez.exemplars8
politicalid	3	10470589	alexandersanchez.exemplars8
education	9	10470589	alexandersanchez.exemplars8
state	ca	10470589	alexandersanchez.exemplars8
gender	f	10470589	alexandersanchez.exemplars8
raceethnic	multi	10470589	alexandersanchez.exemplars8
religion	none	10470589	alexandersanchez.exemplars8
multi_asian	null	10470589	alexandersanchez.exemplars8
multi_black	null	10470589	alexandersanchez.exemplars8
multi_middleeastern	null	10470589	alexandersanchez.exemplars8
multi_native	null	10470589	alexandersanchez.exemplars8
multi_pacificislander	null	10470589	alexandersanchez.exemplars8
relfamily	null	10470589	alexandersanchez.exemplars8
citizenship	us	10470589	alexandersanchez.exemplars8
residence	us	10470589	alexandersanchez.exemplars8
birthyear	1997	10641001	alexandersanchez.exemplars8
politicalid	2	10641001	alexandersanchez.exemplars8
religionid	3	10641001	alexandersanchez.exemplars8
birthmonth	4	10641001	alexandersanchez.exemplars8
genoccupation	41-	10641001	alexandersanchez.exemplars8
occupation	41-3000	10641001	alexandersanchez.exemplars8
education	7	10641001	alexandersanchez.exemplars8
gender	f	10641001	alexandersanchez.exemplars8
raceethnic	hispanic	10641001	alexandersanchez.exemplars8
reldenom	justchristian	10641001	alexandersanchez.exemplars8
relfamily	nondenominational	10641001	alexandersanchez.exemplars8
religion	protestant	10641001	alexandersanchez.exemplars8
state	tx	10641001	alexandersanchez.exemplars8
