characteristic	 value	 user_id	 study_name	 
politicalid	-1	189992	alexandersanchez.exemplars8
birthmonth	1	189992	alexandersanchez.exemplars8
birthyear	1969	189992	alexandersanchez.exemplars8
religionid	2	189992	alexandersanchez.exemplars8
occupation	25-2000	189992	alexandersanchez.exemplars8
engfluency	4	189992	alexandersanchez.exemplars8
ethnicity	5	189992	alexandersanchez.exemplars8
income	5	189992	alexandersanchez.exemplars8
zipcode	59718	189992	alexandersanchez.exemplars8
education	7	189992	alexandersanchez.exemplars8
religion	buddhist	189992	alexandersanchez.exemplars8
sex	f	189992	alexandersanchez.exemplars8
citizenship	us	189992	alexandersanchez.exemplars8
residence	us	189992	alexandersanchez.exemplars8
politicalid	-1	704682	alexandersanchez.exemplars8
dayofbirth	.	704682	alexandersanchez.exemplars8
zipcode	01089	704682	alexandersanchez.exemplars8
genoccupation	19	704682	alexandersanchez.exemplars8
occupation	19-2000	704682	alexandersanchez.exemplars8
birthyear	1979	704682	alexandersanchez.exemplars8
ethnicityomb	2	704682	alexandersanchez.exemplars8
religionid	2	704682	alexandersanchez.exemplars8
major	6	704682	alexandersanchez.exemplars8
raceomb	6	704682	alexandersanchez.exemplars8
birthmonth	8	704682	alexandersanchez.exemplars8
education	8	704682	alexandersanchez.exemplars8
relfamily	anglican	704682	alexandersanchez.exemplars8
reldenom	episcopalian	704682	alexandersanchez.exemplars8
sex	f	704682	alexandersanchez.exemplars8
religion	protestant	704682	alexandersanchez.exemplars8
citizenship	us	704682	alexandersanchez.exemplars8
residence	us	704682	alexandersanchez.exemplars8
dayofbirth	.	871911	alexandersanchez.exemplars8
education	10	871911	alexandersanchez.exemplars8
birthmonth	11	871911	alexandersanchez.exemplars8
birthyear	1965	871911	alexandersanchez.exemplars8
ethnicityomb	2	871911	alexandersanchez.exemplars8
politicalid	2	871911	alexandersanchez.exemplars8
genoccupation	23	871911	alexandersanchez.exemplars8
occupation	23-1000	871911	alexandersanchez.exemplars8
religionid	3	871911	alexandersanchez.exemplars8
raceomb	6	871911	alexandersanchez.exemplars8
zipcode	80210	871911	alexandersanchez.exemplars8
major	9	871911	alexandersanchez.exemplars8
relfamily	conservative	871911	alexandersanchez.exemplars8
religion	jewish	871911	alexandersanchez.exemplars8
sex	m	871911	alexandersanchez.exemplars8
residence	sm	871911	alexandersanchez.exemplars8
citizenship	us	871911	alexandersanchez.exemplars8
dayofbirth	.	989039	alexandersanchez.exemplars8
birthmonth	1	989039	alexandersanchez.exemplars8
education	13	989039	alexandersanchez.exemplars8
birthyear	1970	989039	alexandersanchez.exemplars8
ethnicityomb	2	989039	alexandersanchez.exemplars8
genoccupation	25	989039	alexandersanchez.exemplars8
occupation	25-5000	989039	alexandersanchez.exemplars8
politicalid	3	989039	alexandersanchez.exemplars8
religionid	3	989039	alexandersanchez.exemplars8
major	5	989039	alexandersanchez.exemplars8
zipcode	54703	989039	alexandersanchez.exemplars8
raceomb	6	989039	alexandersanchez.exemplars8
religion	catholic	989039	alexandersanchez.exemplars8
sex	f	989039	alexandersanchez.exemplars8
relfamily	roman catholic	989039	alexandersanchez.exemplars8
citizenship	us	989039	alexandersanchez.exemplars8
residence	us	989039	alexandersanchez.exemplars8
dayofbirth	.	1028193	alexandersanchez.exemplars8
religionid	.	1028193	alexandersanchez.exemplars8
birthmonth	12	1028193	alexandersanchez.exemplars8
major	13	1028193	alexandersanchez.exemplars8
birthyear	1966	1028193	alexandersanchez.exemplars8
ethnicityomb	2	1028193	alexandersanchez.exemplars8
politicalid	2	1028193	alexandersanchez.exemplars8
genoccupation	21	1028193	alexandersanchez.exemplars8
occupation	21-9999	1028193	alexandersanchez.exemplars8
zipcode	48075	1028193	alexandersanchez.exemplars8
raceomb	5	1028193	alexandersanchez.exemplars8
education	8	1028193	alexandersanchez.exemplars8
sex	f	1028193	alexandersanchez.exemplars8
religion	none	1028193	alexandersanchez.exemplars8
residence	sm	1028193	alexandersanchez.exemplars8
relfamily	spiritual, no organized religion	1028193	alexandersanchez.exemplars8
citizenship	us	1028193	alexandersanchez.exemplars8
politicalid	-1	1040632	alexandersanchez.exemplars8
dayofbirth	.	1040632	alexandersanchez.exemplars8
major	1	1040632	alexandersanchez.exemplars8
birthmonth	12	1040632	alexandersanchez.exemplars8
education	14	1040632	alexandersanchez.exemplars8
birthyear	1954	1040632	alexandersanchez.exemplars8
ethnicityomb	2	1040632	alexandersanchez.exemplars8
genoccupation	25	1040632	alexandersanchez.exemplars8
occupation	25-1000	1040632	alexandersanchez.exemplars8
religionid	3	1040632	alexandersanchez.exemplars8
zipcode	46151	1040632	alexandersanchez.exemplars8
raceomb	6	1040632	alexandersanchez.exemplars8
religion	catholic	1040632	alexandersanchez.exemplars8
sex	f	1040632	alexandersanchez.exemplars8
relfamily	roman catholic	1040632	alexandersanchez.exemplars8
residence	sm	1040632	alexandersanchez.exemplars8
citizenship	us	1040632	alexandersanchez.exemplars8
dayofbirth	.	9994058	alexandersanchez.exemplars8
reldenom	.	9994058	alexandersanchez.exemplars8
zipcode	02817	9994058	alexandersanchez.exemplars8
birthyear	1969	9994058	alexandersanchez.exemplars8
ethnicityomb	2	9994058	alexandersanchez.exemplars8
religionid	2	9994058	alexandersanchez.exemplars8
genoccupation	25	9994058	alexandersanchez.exemplars8
occupation	25-1000	9994058	alexandersanchez.exemplars8
politicalid	3	9994058	alexandersanchez.exemplars8
major	5	9994058	alexandersanchez.exemplars8
raceomb	6	9994058	alexandersanchez.exemplars8
birthmonth	8	9994058	alexandersanchez.exemplars8
education	9	9994058	alexandersanchez.exemplars8
sex	m	9994058	alexandersanchez.exemplars8
relfamily	presbyterian	9994058	alexandersanchez.exemplars8
religion	protestant	9994058	alexandersanchez.exemplars8
residence	sm	9994058	alexandersanchez.exemplars8
citizenship	us	9994058	alexandersanchez.exemplars8
dayofbirth	.	10001191	alexandersanchez.exemplars8
ethnicityomb	1	10001191	alexandersanchez.exemplars8
religionid	1	10001191	alexandersanchez.exemplars8
education	12	10001191	alexandersanchez.exemplars8
major	13	10001191	alexandersanchez.exemplars8
genoccupation	19	10001191	alexandersanchez.exemplars8
occupation	19-9999	10001191	alexandersanchez.exemplars8
birthyear	1978	10001191	alexandersanchez.exemplars8
politicalid	3	10001191	alexandersanchez.exemplars8
raceomb	6	10001191	alexandersanchez.exemplars8
birthmonth	8	10001191	alexandersanchez.exemplars8
zipcode	97331	10001191	alexandersanchez.exemplars8
relfamily	atheist	10001191	alexandersanchez.exemplars8
sex	m	10001191	alexandersanchez.exemplars8
religion	none	10001191	alexandersanchez.exemplars8
citizenship	us	10001191	alexandersanchez.exemplars8
residence	us	10001191	alexandersanchez.exemplars8
dayofbirth	.	10108278	alexandersanchez.exemplars8
religionid	1	10108278	alexandersanchez.exemplars8
birthyear	1946	10108278	alexandersanchez.exemplars8
ethnicityomb	2	10108278	alexandersanchez.exemplars8
genoccupation	25	10108278	alexandersanchez.exemplars8
occupation	25-5000	10108278	alexandersanchez.exemplars8
politicalid	3	10108278	alexandersanchez.exemplars8
major	5	10108278	alexandersanchez.exemplars8
raceomb	6	10108278	alexandersanchez.exemplars8
birthmonth	7	10108278	alexandersanchez.exemplars8
education	9	10108278	alexandersanchez.exemplars8
zipcode	93923	10108278	alexandersanchez.exemplars8
sex	f	10108278	alexandersanchez.exemplars8
religion	jewish	10108278	alexandersanchez.exemplars8
relfamily	secular	10108278	alexandersanchez.exemplars8
citizenship	us	10108278	alexandersanchez.exemplars8
residence	us	10108278	alexandersanchez.exemplars8
dayofbirth	.	10161865	alexandersanchez.exemplars8
major	12	10161865	alexandersanchez.exemplars8
birthyear	1984	10161865	alexandersanchez.exemplars8
ethnicityomb	2	10161865	alexandersanchez.exemplars8
politicalid	2	10161865	alexandersanchez.exemplars8
genoccupation	27	10161865	alexandersanchez.exemplars8
occupation	27-9999	10161865	alexandersanchez.exemplars8
religionid	3	10161865	alexandersanchez.exemplars8
raceomb	6	10161865	alexandersanchez.exemplars8
birthmonth	7	10161865	alexandersanchez.exemplars8
education	8	10161865	alexandersanchez.exemplars8
zipcode	98125	10161865	alexandersanchez.exemplars8
sex	m	10161865	alexandersanchez.exemplars8
relfamily	presbyterian	10161865	alexandersanchez.exemplars8
reldenom	presbyterian church in the usa (pcusa)	10161865	alexandersanchez.exemplars8
religion	protestant	10161865	alexandersanchez.exemplars8
residence	sm	10161865	alexandersanchez.exemplars8
citizenship	us	10161865	alexandersanchez.exemplars8
dayofbirth	.	10192997	alexandersanchez.exemplars8
politicalid	0	10192997	alexandersanchez.exemplars8
major	1	10192997	alexandersanchez.exemplars8
raceomb	1	10192997	alexandersanchez.exemplars8
birthmonth	11	10192997	alexandersanchez.exemplars8
birthyear	1987	10192997	alexandersanchez.exemplars8
ethnicityomb	2	10192997	alexandersanchez.exemplars8
genoccupation	25-9999	10192997	alexandersanchez.exemplars8
occupation	25-9999	10192997	alexandersanchez.exemplars8
religionid	4	10192997	alexandersanchez.exemplars8
zipcode	59803	10192997	alexandersanchez.exemplars8
education	7	10192997	alexandersanchez.exemplars8
religion	catholic	10192997	alexandersanchez.exemplars8
sex	m	10192997	alexandersanchez.exemplars8
relfamily	roman catholic	10192997	alexandersanchez.exemplars8
residence	sm	10192997	alexandersanchez.exemplars8
citizenship	us	10192997	alexandersanchez.exemplars8
