characteristic	 value	 user_id	 study_name	 
politicalid	-3	10011034	alexandersanchez.exemplarsrep
religionid	1	10011034	alexandersanchez.exemplarsrep
genoccupation	15-	10011034	alexandersanchez.exemplarsrep
occupation	15-1000	10011034	alexandersanchez.exemplarsrep
birthyear	1977	10011034	alexandersanchez.exemplarsrep
birthmonth	4	10011034	alexandersanchez.exemplarsrep
education	5	10011034	alexandersanchez.exemplarsrep
raceethnic	black	10011034	alexandersanchez.exemplarsrep
gender	m	10011034	alexandersanchez.exemplarsrep
religion	none	10011034	alexandersanchez.exemplarsrep
multi_asian	null	10011034	alexandersanchez.exemplarsrep
multi_black	null	10011034	alexandersanchez.exemplarsrep
multi_hispanic	null	10011034	alexandersanchez.exemplarsrep
multi_middleeastern	null	10011034	alexandersanchez.exemplarsrep
multi_native	null	10011034	alexandersanchez.exemplarsrep
multi_pacificislander	null	10011034	alexandersanchez.exemplarsrep
multi_white	null	10011034	alexandersanchez.exemplarsrep
relfamily	null	10011034	alexandersanchez.exemplarsrep
state	ny	10011034	alexandersanchez.exemplarsrep
citizenship	us	10011034	alexandersanchez.exemplarsrep
residence	us	10011034	alexandersanchez.exemplarsrep
politicalid	-2	10144721	alexandersanchez.exemplarsrep
birthmonth	10	10144721	alexandersanchez.exemplarsrep
birthyear	1967	10144721	alexandersanchez.exemplarsrep
religionid	3	10144721	alexandersanchez.exemplarsrep
education	9	10144721	alexandersanchez.exemplarsrep
relfamily	baptist	10144721	alexandersanchez.exemplarsrep
gender	m	10144721	alexandersanchez.exemplarsrep
genoccupation	null	10144721	alexandersanchez.exemplarsrep
religion	protestant	10144721	alexandersanchez.exemplarsrep
reldenom	southernbaptist	10144721	alexandersanchez.exemplarsrep
state	tn	10144721	alexandersanchez.exemplarsrep
citizenship	us	10144721	alexandersanchez.exemplarsrep
residence	us	10144721	alexandersanchez.exemplarsrep
raceethnic	white	10144721	alexandersanchez.exemplarsrep
birthyear	1996	10207130	alexandersanchez.exemplarsrep
religionid	2	10207130	alexandersanchez.exemplarsrep
genoccupation	21-	10207130	alexandersanchez.exemplarsrep
occupation	21-1000	10207130	alexandersanchez.exemplarsrep
politicalid	3	10207130	alexandersanchez.exemplarsrep
education	7	10207130	alexandersanchez.exemplarsrep
birthmonth	8	10207130	alexandersanchez.exemplarsrep
gender	f	10207130	alexandersanchez.exemplarsrep
reldenom	otherpentecostal	10207130	alexandersanchez.exemplarsrep
relfamily	pentecostal	10207130	alexandersanchez.exemplarsrep
religion	protestant	10207130	alexandersanchez.exemplarsrep
residence	sm	10207130	alexandersanchez.exemplarsrep
citizenship	us	10207130	alexandersanchez.exemplarsrep
state	va	10207130	alexandersanchez.exemplarsrep
raceethnic	white	10207130	alexandersanchez.exemplarsrep
politicalid	-2	10723577	alexandersanchez.exemplarsrep
education	10	10723577	alexandersanchez.exemplarsrep
genoccupation	17-	10723577	alexandersanchez.exemplarsrep
occupation	17-2000	10723577	alexandersanchez.exemplarsrep
birthyear	1966	10723577	alexandersanchez.exemplarsrep
religionid	3	10723577	alexandersanchez.exemplarsrep
birthmonth	8	10723577	alexandersanchez.exemplarsrep
state	al	10723577	alexandersanchez.exemplarsrep
relfamily	baptist	10723577	alexandersanchez.exemplarsrep
gender	m	10723577	alexandersanchez.exemplarsrep
religion	protestant	10723577	alexandersanchez.exemplarsrep
reldenom	southernbaptist	10723577	alexandersanchez.exemplarsrep
citizenship	us	10723577	alexandersanchez.exemplarsrep
residence	us	10723577	alexandersanchez.exemplarsrep
raceethnic	white	10723577	alexandersanchez.exemplarsrep
religionid	1	10863284	alexandersanchez.exemplarsrep
genoccupation	11-	10863284	alexandersanchez.exemplarsrep
occupation	11-9000	10863284	alexandersanchez.exemplarsrep
birthmonth	12	10863284	alexandersanchez.exemplarsrep
education	14	10863284	alexandersanchez.exemplarsrep
birthyear	1973	10863284	alexandersanchez.exemplarsrep
politicalid	2	10863284	alexandersanchez.exemplarsrep
relfamily	atheist	10863284	alexandersanchez.exemplarsrep
citizenship	fr	10863284	alexandersanchez.exemplarsrep
gender	m	10863284	alexandersanchez.exemplarsrep
religion	none	10863284	alexandersanchez.exemplarsrep
residence	us	10863284	alexandersanchez.exemplarsrep
state	ut	10863284	alexandersanchez.exemplarsrep
raceethnic	white	10863284	alexandersanchez.exemplarsrep
multi_asian	1	10926285	alexandersanchez.exemplarsrep
multi_white	1	10926285	alexandersanchez.exemplarsrep
education	12	10926285	alexandersanchez.exemplarsrep
genoccupation	19-	10926285	alexandersanchez.exemplarsrep
occupation	19-1000	10926285	alexandersanchez.exemplarsrep
birthyear	1990	10926285	alexandersanchez.exemplarsrep
religionid	2	10926285	alexandersanchez.exemplarsrep
politicalid	3	10926285	alexandersanchez.exemplarsrep
birthmonth	7	10926285	alexandersanchez.exemplarsrep
state	co	10926285	alexandersanchez.exemplarsrep
gender	f	10926285	alexandersanchez.exemplarsrep
relfamily	lutheran	10926285	alexandersanchez.exemplarsrep
reldenom	lutheranchurchmissouri	10926285	alexandersanchez.exemplarsrep
raceethnic	multi	10926285	alexandersanchez.exemplarsrep
multi_black	null	10926285	alexandersanchez.exemplarsrep
multi_hispanic	null	10926285	alexandersanchez.exemplarsrep
multi_middleeastern	null	10926285	alexandersanchez.exemplarsrep
multi_native	null	10926285	alexandersanchez.exemplarsrep
multi_pacificislander	null	10926285	alexandersanchez.exemplarsrep
religion	protestant	10926285	alexandersanchez.exemplarsrep
citizenship	us	10926285	alexandersanchez.exemplarsrep
residence	us	10926285	alexandersanchez.exemplarsrep
politicalid	-2	10930172	alexandersanchez.exemplarsrep
birthmonth	11	10930172	alexandersanchez.exemplarsrep
birthyear	1970	10930172	alexandersanchez.exemplarsrep
religionid	3	10930172	alexandersanchez.exemplarsrep
education	7	10930172	alexandersanchez.exemplarsrep
religion	catholic	10930172	alexandersanchez.exemplarsrep
gender	f	10930172	alexandersanchez.exemplarsrep
genoccupation	null	10930172	alexandersanchez.exemplarsrep
state	null	10930172	alexandersanchez.exemplarsrep
relfamily	romancatholic	10930172	alexandersanchez.exemplarsrep
residence	sm	10930172	alexandersanchez.exemplarsrep
citizenship	us	10930172	alexandersanchez.exemplarsrep
raceethnic	white	10930172	alexandersanchez.exemplarsrep
multi_hispanic	1	10936058	alexandersanchez.exemplarsrep
multi_white	1	10936058	alexandersanchez.exemplarsrep
religionid	1	10936058	alexandersanchez.exemplarsrep
birthyear	1988	10936058	alexandersanchez.exemplarsrep
birthmonth	3	10936058	alexandersanchez.exemplarsrep
politicalid	3	10936058	alexandersanchez.exemplarsrep
education	5	10936058	alexandersanchez.exemplarsrep
relfamily	atheist	10936058	alexandersanchez.exemplarsrep
gender	f	10936058	alexandersanchez.exemplarsrep
raceethnic	multi	10936058	alexandersanchez.exemplarsrep
religion	none	10936058	alexandersanchez.exemplarsrep
genoccupation	null	10936058	alexandersanchez.exemplarsrep
multi_asian	null	10936058	alexandersanchez.exemplarsrep
multi_black	null	10936058	alexandersanchez.exemplarsrep
multi_middleeastern	null	10936058	alexandersanchez.exemplarsrep
multi_native	null	10936058	alexandersanchez.exemplarsrep
multi_pacificislander	null	10936058	alexandersanchez.exemplarsrep
state	or	10936058	alexandersanchez.exemplarsrep
citizenship	us	10936058	alexandersanchez.exemplarsrep
residence	us	10936058	alexandersanchez.exemplarsrep
politicalid	1	10945838	alexandersanchez.exemplarsrep
religionid	1	10945838	alexandersanchez.exemplarsrep
birthyear	1997	10945838	alexandersanchez.exemplarsrep
occupation	29-1000	10945838	alexandersanchez.exemplarsrep
genoccupation	2931	10945838	alexandersanchez.exemplarsrep
birthmonth	8	10945838	alexandersanchez.exemplarsrep
education	8	10945838	alexandersanchez.exemplarsrep
relfamily	atheist	10945838	alexandersanchez.exemplarsrep
state	fl	10945838	alexandersanchez.exemplarsrep
gender	m	10945838	alexandersanchez.exemplarsrep
religion	none	10945838	alexandersanchez.exemplarsrep
citizenship	us	10945838	alexandersanchez.exemplarsrep
residence	us	10945838	alexandersanchez.exemplarsrep
raceethnic	white	10945838	alexandersanchez.exemplarsrep
birthyear	1999	10947463	alexandersanchez.exemplarsrep
birthmonth	2	10947463	alexandersanchez.exemplarsrep
politicalid	2	10947463	alexandersanchez.exemplarsrep
religionid	2	10947463	alexandersanchez.exemplarsrep
genoccupation	21-	10947463	alexandersanchez.exemplarsrep
occupation	21-1000	10947463	alexandersanchez.exemplarsrep
education	7	10947463	alexandersanchez.exemplarsrep
gender	f	10947463	alexandersanchez.exemplarsrep
state	null	10947463	alexandersanchez.exemplarsrep
religion	otherrelig	10947463	alexandersanchez.exemplarsrep
relfamily	unitarian	10947463	alexandersanchez.exemplarsrep
citizenship	us	10947463	alexandersanchez.exemplarsrep
residence	us	10947463	alexandersanchez.exemplarsrep
raceethnic	white	10947463	alexandersanchez.exemplarsrep
politicalid	-1	11119344	alexandersanchez.exemplarsrep
birthyear	1998	11119344	alexandersanchez.exemplarsrep
religionid	2	11119344	alexandersanchez.exemplarsrep
genoccupation	25-	11119344	alexandersanchez.exemplarsrep
occupation	25-2000	11119344	alexandersanchez.exemplarsrep
birthmonth	8	11119344	alexandersanchez.exemplarsrep
education	8	11119344	alexandersanchez.exemplarsrep
religion	catholic	11119344	alexandersanchez.exemplarsrep
gender	f	11119344	alexandersanchez.exemplarsrep
state	ma	11119344	alexandersanchez.exemplarsrep
relfamily	romancatholic	11119344	alexandersanchez.exemplarsrep
residence	sm	11119344	alexandersanchez.exemplarsrep
citizenship	us	11119344	alexandersanchez.exemplarsrep
raceethnic	white	11119344	alexandersanchez.exemplarsrep
politicalid	-1	11136325	alexandersanchez.exemplarsrep
genoccupation	11-	11136325	alexandersanchez.exemplarsrep
occupation	11-2000	11136325	alexandersanchez.exemplarsrep
birthyear	1977	11136325	alexandersanchez.exemplarsrep
religionid	4	11136325	alexandersanchez.exemplarsrep
birthmonth	6	11136325	alexandersanchez.exemplarsrep
education	7	11136325	alexandersanchez.exemplarsrep
raceethnic	asian	11136325	alexandersanchez.exemplarsrep
state	ca	11136325	alexandersanchez.exemplarsrep
religion	catholic	11136325	alexandersanchez.exemplarsrep
gender	f	11136325	alexandersanchez.exemplarsrep
relfamily	romancatholic	11136325	alexandersanchez.exemplarsrep
citizenship	us	11136325	alexandersanchez.exemplarsrep
residence	us	11136325	alexandersanchez.exemplarsrep
politicalid	1	11222406	alexandersanchez.exemplarsrep
birthmonth	10	11222406	alexandersanchez.exemplarsrep
birthyear	1999	11222406	alexandersanchez.exemplarsrep
religionid	2	11222406	alexandersanchez.exemplarsrep
genoccupation	35-	11222406	alexandersanchez.exemplarsrep
occupation	35-9000	11222406	alexandersanchez.exemplarsrep
education	6	11222406	alexandersanchez.exemplarsrep
gender	f	11222406	alexandersanchez.exemplarsrep
state	fl	11222406	alexandersanchez.exemplarsrep
reldenom	justchristian	11222406	alexandersanchez.exemplarsrep
relfamily	nondenominational	11222406	alexandersanchez.exemplarsrep
religion	protestant	11222406	alexandersanchez.exemplarsrep
citizenship	us	11222406	alexandersanchez.exemplarsrep
residence	us	11222406	alexandersanchez.exemplarsrep
raceethnic	white	11222406	alexandersanchez.exemplarsrep
religionid	1	11275968	alexandersanchez.exemplarsrep
birthmonth	12	11275968	alexandersanchez.exemplarsrep
education	12	11275968	alexandersanchez.exemplarsrep
genoccupation	19-	11275968	alexandersanchez.exemplarsrep
occupation	19-1000	11275968	alexandersanchez.exemplarsrep
