characteristic	 value	 user_id	 study_name	 
dayofbirth	.	10011034	alexandersanchez.exemplarsrep
politicalid	1	10011034	alexandersanchez.exemplarsrep
religionid	1	10011034	alexandersanchez.exemplarsrep
zipcode	10035	10011034	alexandersanchez.exemplarsrep
major	11	10011034	alexandersanchez.exemplarsrep
birthyear	1977	10011034	alexandersanchez.exemplarsrep
ethnicityomb	2	10011034	alexandersanchez.exemplarsrep
birthmonth	4	10011034	alexandersanchez.exemplarsrep
education	5	10011034	alexandersanchez.exemplarsrep
raceomb	5	10011034	alexandersanchez.exemplarsrep
genoccupation	99-9999	10011034	alexandersanchez.exemplarsrep
occupation	99-9999	10011034	alexandersanchez.exemplarsrep
relfamily	agnostic	10011034	alexandersanchez.exemplarsrep
sex	m	10011034	alexandersanchez.exemplarsrep
religion	none	10011034	alexandersanchez.exemplarsrep
residence	sm	10011034	alexandersanchez.exemplarsrep
citizenship	us	10011034	alexandersanchez.exemplarsrep
politicalid	-1	10144721	alexandersanchez.exemplarsrep
dayofbirth	.	10144721	alexandersanchez.exemplarsrep
relfamily	.	10144721	alexandersanchez.exemplarsrep
birthmonth	10	10144721	alexandersanchez.exemplarsrep
education	14	10144721	alexandersanchez.exemplarsrep
genoccupation	17	10144721	alexandersanchez.exemplarsrep
birthyear	1967	10144721	alexandersanchez.exemplarsrep
ethnicityomb	2	10144721	alexandersanchez.exemplarsrep
major	2	10144721	alexandersanchez.exemplarsrep
religionid	3	10144721	alexandersanchez.exemplarsrep
zipcode	37660	10144721	alexandersanchez.exemplarsrep
raceomb	6	10144721	alexandersanchez.exemplarsrep
sex	m	10144721	alexandersanchez.exemplarsrep
religion	protestant	10144721	alexandersanchez.exemplarsrep
citizenship	us	10144721	alexandersanchez.exemplarsrep
residence	us	10144721	alexandersanchez.exemplarsrep
dayofbirth	.	10207130	alexandersanchez.exemplarsrep
relfamily	.	10207130	alexandersanchez.exemplarsrep
politicalid	0	10207130	alexandersanchez.exemplarsrep
major	13	10207130	alexandersanchez.exemplarsrep
birthyear	1996	10207130	alexandersanchez.exemplarsrep
ethnicityomb	2	10207130	alexandersanchez.exemplarsrep
zipcode	24555	10207130	alexandersanchez.exemplarsrep
genoccupation	25-9999	10207130	alexandersanchez.exemplarsrep
occupation	25-9999	10207130	alexandersanchez.exemplarsrep
religionid	3	10207130	alexandersanchez.exemplarsrep
education	5	10207130	alexandersanchez.exemplarsrep
raceomb	6	10207130	alexandersanchez.exemplarsrep
birthmonth	8	10207130	alexandersanchez.exemplarsrep
sex	f	10207130	alexandersanchez.exemplarsrep
religion	protestant	10207130	alexandersanchez.exemplarsrep
residence	sm	10207130	alexandersanchez.exemplarsrep
citizenship	us	10207130	alexandersanchez.exemplarsrep
politicalid	-2	10723577	alexandersanchez.exemplarsrep
dayofbirth	.	10723577	alexandersanchez.exemplarsrep
education	10	10723577	alexandersanchez.exemplarsrep
genoccupation	19	10723577	alexandersanchez.exemplarsrep
occupation	19-2000	10723577	alexandersanchez.exemplarsrep
birthyear	1966	10723577	alexandersanchez.exemplarsrep
ethnicityomb	2	10723577	alexandersanchez.exemplarsrep
religionid	2	10723577	alexandersanchez.exemplarsrep
zipcode	35244	10723577	alexandersanchez.exemplarsrep
major	6	10723577	alexandersanchez.exemplarsrep
raceomb	6	10723577	alexandersanchez.exemplarsrep
birthmonth	8	10723577	alexandersanchez.exemplarsrep
relfamily	baptist	10723577	alexandersanchez.exemplarsrep
sex	m	10723577	alexandersanchez.exemplarsrep
reldenom	northern baptist	10723577	alexandersanchez.exemplarsrep
religion	protestant	10723577	alexandersanchez.exemplarsrep
citizenship	us	10723577	alexandersanchez.exemplarsrep
residence	us	10723577	alexandersanchez.exemplarsrep
dayofbirth	.	10863284	alexandersanchez.exemplarsrep
relfamily	.	10863284	alexandersanchez.exemplarsrep
religionid	1	10863284	alexandersanchez.exemplarsrep
genoccupation	11	10863284	alexandersanchez.exemplarsrep
birthmonth	12	10863284	alexandersanchez.exemplarsrep
education	14	10863284	alexandersanchez.exemplarsrep
birthyear	1973	10863284	alexandersanchez.exemplarsrep
ethnicityomb	2	10863284	alexandersanchez.exemplarsrep
major	2	10863284	alexandersanchez.exemplarsrep
politicalid	3	10863284	alexandersanchez.exemplarsrep
raceomb	6	10863284	alexandersanchez.exemplarsrep
zipcode	84116	10863284	alexandersanchez.exemplarsrep
citizenship	fr	10863284	alexandersanchez.exemplarsrep
sex	m	10863284	alexandersanchez.exemplarsrep
religion	none	10863284	alexandersanchez.exemplarsrep
residence	us	10863284	alexandersanchez.exemplarsrep
dayofbirth	.	10926285	alexandersanchez.exemplarsrep
relfamily	.	10926285	alexandersanchez.exemplarsrep
major	1	10926285	alexandersanchez.exemplarsrep
education	12	10926285	alexandersanchez.exemplarsrep
genoccupation	19	10926285	alexandersanchez.exemplarsrep
birthyear	1990	10926285	alexandersanchez.exemplarsrep
ethnicityomb	2	10926285	alexandersanchez.exemplarsrep
politicalid	2	10926285	alexandersanchez.exemplarsrep
religionid	2	10926285	alexandersanchez.exemplarsrep
birthmonth	7	10926285	alexandersanchez.exemplarsrep
raceomb	8	10926285	alexandersanchez.exemplarsrep
zipcode	80239	10926285	alexandersanchez.exemplarsrep
sex	f	10926285	alexandersanchez.exemplarsrep
religion	protestant	10926285	alexandersanchez.exemplarsrep
residence	sm	10926285	alexandersanchez.exemplarsrep
citizenship	us	10926285	alexandersanchez.exemplarsrep
politicalid	-3	10930172	alexandersanchez.exemplarsrep
dayofbirth	.	10930172	alexandersanchez.exemplarsrep
relfamily	.	10930172	alexandersanchez.exemplarsrep
birthmonth	11	10930172	alexandersanchez.exemplarsrep
major	11	10930172	alexandersanchez.exemplarsrep
birthyear	1970	10930172	alexandersanchez.exemplarsrep
ethnicityomb	2	10930172	alexandersanchez.exemplarsrep
genoccupation	25	10930172	alexandersanchez.exemplarsrep
religionid	3	10930172	alexandersanchez.exemplarsrep
zipcode	55330	10930172	alexandersanchez.exemplarsrep
raceomb	6	10930172	alexandersanchez.exemplarsrep
education	7	10930172	alexandersanchez.exemplarsrep
religion	catholic	10930172	alexandersanchez.exemplarsrep
sex	f	10930172	alexandersanchez.exemplarsrep
citizenship	us	10930172	alexandersanchez.exemplarsrep
residence	us	10930172	alexandersanchez.exemplarsrep
dayofbirth	.	10936058	alexandersanchez.exemplarsrep
relfamily	.	10936058	alexandersanchez.exemplarsrep
ethnicityomb	1	10936058	alexandersanchez.exemplarsrep
religionid	1	10936058	alexandersanchez.exemplarsrep
genoccupation	13	10936058	alexandersanchez.exemplarsrep
major	13	10936058	alexandersanchez.exemplarsrep
birthyear	1988	10936058	alexandersanchez.exemplarsrep
birthmonth	3	10936058	alexandersanchez.exemplarsrep
politicalid	3	10936058	alexandersanchez.exemplarsrep
education	5	10936058	alexandersanchez.exemplarsrep
raceomb	8	10936058	alexandersanchez.exemplarsrep
zipcode	97214	10936058	alexandersanchez.exemplarsrep
sex	f	10936058	alexandersanchez.exemplarsrep
religion	none	10936058	alexandersanchez.exemplarsrep
citizenship	uk	10936058	alexandersanchez.exemplarsrep
residence	us	10936058	alexandersanchez.exemplarsrep
dayofbirth	.	10945838	alexandersanchez.exemplarsrep
relfamily	.	10945838	alexandersanchez.exemplarsrep
politicalid	0	10945838	alexandersanchez.exemplarsrep
major	1	10945838	alexandersanchez.exemplarsrep
religionid	1	10945838	alexandersanchez.exemplarsrep
birthyear	1997	10945838	alexandersanchez.exemplarsrep
ethnicityomb	2	10945838	alexandersanchez.exemplarsrep
genoccupation	25-9999	10945838	alexandersanchez.exemplarsrep
zipcode	32608	10945838	alexandersanchez.exemplarsrep
education	5	10945838	alexandersanchez.exemplarsrep
raceomb	6	10945838	alexandersanchez.exemplarsrep
birthmonth	8	10945838	alexandersanchez.exemplarsrep
