characteristic	 value	 user_id	 study_name	 
dayofbirth	.	883606	alexandersanchez.exemplarsrep2
religionid	1	883606	alexandersanchez.exemplarsrep2
major	11	883606	alexandersanchez.exemplarsrep2
birthyear	1988	883606	alexandersanchez.exemplarsrep2
ethnicityomb	2	883606	alexandersanchez.exemplarsrep2
genoccupation	25-9999	883606	alexandersanchez.exemplarsrep2
occupation	25-9999	883606	alexandersanchez.exemplarsrep2
zipcode	2595sw	883606	alexandersanchez.exemplarsrep2
politicalid	3	883606	alexandersanchez.exemplarsrep2
raceomb	6	883606	alexandersanchez.exemplarsrep2
education	7	883606	alexandersanchez.exemplarsrep2
birthmonth	9	883606	alexandersanchez.exemplarsrep2
relfamily	atheist	883606	alexandersanchez.exemplarsrep2
citizenship	es	883606	alexandersanchez.exemplarsrep2
sex	m	883606	alexandersanchez.exemplarsrep2
residence	nl	883606	alexandersanchez.exemplarsrep2
religion	none	883606	alexandersanchez.exemplarsrep2
dayofbirth	.	10672856	alexandersanchez.exemplarsrep2
religionid	1	10672856	alexandersanchez.exemplarsrep2
major	11	10672856	alexandersanchez.exemplarsrep2
education	12	10672856	alexandersanchez.exemplarsrep2
birthyear	1966	10672856	alexandersanchez.exemplarsrep2
birthmonth	2	10672856	alexandersanchez.exemplarsrep2
ethnicityomb	2	10672856	alexandersanchez.exemplarsrep2
zipcode	20850	10672856	alexandersanchez.exemplarsrep2
genoccupation	25	10672856	alexandersanchez.exemplarsrep2
occupation	25-1000	10672856	alexandersanchez.exemplarsrep2
politicalid	3	10672856	alexandersanchez.exemplarsrep2
raceomb	6	10672856	alexandersanchez.exemplarsrep2
sex	f	10672856	alexandersanchez.exemplarsrep2
religion	none	10672856	alexandersanchez.exemplarsrep2
relfamily	other non-religious	10672856	alexandersanchez.exemplarsrep2
citizenship	us	10672856	alexandersanchez.exemplarsrep2
residence	us	10672856	alexandersanchez.exemplarsrep2
dayofbirth	.	10866939	alexandersanchez.exemplarsrep2
zipcode	14621	10866939	alexandersanchez.exemplarsrep2
birthyear	1949	10866939	alexandersanchez.exemplarsrep2
birthmonth	3	10866939	alexandersanchez.exemplarsrep2
ethnicityomb	3	10866939	alexandersanchez.exemplarsrep2
politicalid	3	10866939	alexandersanchez.exemplarsrep2
religionid	4	10866939	alexandersanchez.exemplarsrep2
raceomb	5	10866939	alexandersanchez.exemplarsrep2
major	7	10866939	alexandersanchez.exemplarsrep2
education	9	10866939	alexandersanchez.exemplarsrep2
genoccupation	99-0001	10866939	alexandersanchez.exemplarsrep2
occupation	99-0001	10866939	alexandersanchez.exemplarsrep2
religion	buddhist	10866939	alexandersanchez.exemplarsrep2
relfamily	buddhist: mahayana	10866939	alexandersanchez.exemplarsrep2
sex	m	10866939	alexandersanchez.exemplarsrep2
residence	sm	10866939	alexandersanchez.exemplarsrep2
citizenship	us	10866939	alexandersanchez.exemplarsrep2
politicalid	-2	10931416	alexandersanchez.exemplarsrep2
dayofbirth	.	10931416	alexandersanchez.exemplarsrep2
major	.	10931416	alexandersanchez.exemplarsrep2
birthmonth	10	10931416	alexandersanchez.exemplarsrep2
religionid	2	10931416	alexandersanchez.exemplarsrep2
birthyear	2001	10931416	alexandersanchez.exemplarsrep2
education	3	10931416	alexandersanchez.exemplarsrep2
ethnicityomb	3	10931416	alexandersanchez.exemplarsrep2
zipcode	30518	10931416	alexandersanchez.exemplarsrep2
raceomb	6	10931416	alexandersanchez.exemplarsrep2
genoccupation	99-9999	10931416	alexandersanchez.exemplarsrep2
religion	catholic	10931416	alexandersanchez.exemplarsrep2
sex	m	10931416	alexandersanchez.exemplarsrep2
citizenship	us	10931416	alexandersanchez.exemplarsrep2
residence	us	10931416	alexandersanchez.exemplarsrep2
dayofbirth	.	10954746	alexandersanchez.exemplarsrep2
relfamily	.	10954746	alexandersanchez.exemplarsrep2
religionid	1	10954746	alexandersanchez.exemplarsrep2
major	10	10954746	alexandersanchez.exemplarsrep2
birthmonth	11	10954746	alexandersanchez.exemplarsrep2
birthyear	1997	10954746	alexandersanchez.exemplarsrep2
ethnicityomb	2	10954746	alexandersanchez.exemplarsrep2
genoccupation	25-9999	10954746	alexandersanchez.exemplarsrep2
politicalid	3	10954746	alexandersanchez.exemplarsrep2
education	5	10954746	alexandersanchez.exemplarsrep2
raceomb	6	10954746	alexandersanchez.exemplarsrep2
zipcode	70281	10954746	alexandersanchez.exemplarsrep2
sex	f	10954746	alexandersanchez.exemplarsrep2
religion	none	10954746	alexandersanchez.exemplarsrep2
citizenship	se	10954746	alexandersanchez.exemplarsrep2
residence	se	10954746	alexandersanchez.exemplarsrep2
dayofbirth	.	11021410	alexandersanchez.exemplarsrep2
relfamily	.	11021410	alexandersanchez.exemplarsrep2
zipcode	01929	11021410	alexandersanchez.exemplarsrep2
politicalid	1	11021410	alexandersanchez.exemplarsrep2
birthmonth	11	11021410	alexandersanchez.exemplarsrep2
genoccupation	13	11021410	alexandersanchez.exemplarsrep2
education	14	11021410	alexandersanchez.exemplarsrep2
birthyear	1962	11021410	alexandersanchez.exemplarsrep2
ethnicityomb	2	11021410	alexandersanchez.exemplarsrep2
religionid	2	11021410	alexandersanchez.exemplarsrep2
major	8	11021410	alexandersanchez.exemplarsrep2
raceomb	8	11021410	alexandersanchez.exemplarsrep2
sex	f	11021410	alexandersanchez.exemplarsrep2
religion	protestant	11021410	alexandersanchez.exemplarsrep2
citizenship	us	11021410	alexandersanchez.exemplarsrep2
residence	us	11021410	alexandersanchez.exemplarsrep2
dayofbirth	.	11042007	alexandersanchez.exemplarsrep2
major	13	11042007	alexandersanchez.exemplarsrep2
birthyear	1955	11042007	alexandersanchez.exemplarsrep2
ethnicityomb	2	11042007	alexandersanchez.exemplarsrep2
politicalid	2	11042007	alexandersanchez.exemplarsrep2
religionid	2	11042007	alexandersanchez.exemplarsrep2
genoccupation	21	11042007	alexandersanchez.exemplarsrep2
