characteristic	 value	 user_id	 study_name	 
birthmonth	1	14008	alexandersanchez.exemplars10
genoccupation	15-	14008	alexandersanchez.exemplars10
birthyear	2001	14008	alexandersanchez.exemplars10
religionid	3	14008	alexandersanchez.exemplars10
education	7	14008	alexandersanchez.exemplars10
gender	m	14008	alexandersanchez.exemplars10
raceethnic	multi	14008	alexandersanchez.exemplars10
relfamily	notlisted	14008	alexandersanchez.exemplars10
multi_asian	null	14008	alexandersanchez.exemplars10
multi_black	null	14008	alexandersanchez.exemplars10
multi_hispanic	null	14008	alexandersanchez.exemplars10
multi_middleeastern	null	14008	alexandersanchez.exemplars10
multi_native	null	14008	alexandersanchez.exemplars10
multi_pacificislander	null	14008	alexandersanchez.exemplars10
multi_white	null	14008	alexandersanchez.exemplars10
occupation	null	14008	alexandersanchez.exemplars10
politicalid	null	14008	alexandersanchez.exemplars10
state	null	14008	alexandersanchez.exemplars10
religion	otherrelig	14008	alexandersanchez.exemplars10
citizenship	us	14008	alexandersanchez.exemplars10
residence	us	14008	alexandersanchez.exemplars10
religionid	1	36824	alexandersanchez.exemplars10
birthyear	1943	36824	alexandersanchez.exemplars10
politicalid	2	36824	alexandersanchez.exemplars10
genoccupation	25-	36824	alexandersanchez.exemplars10
occupation	25-9000	36824	alexandersanchez.exemplars10
birthmonth	9	36824	alexandersanchez.exemplars10
education	9	36824	alexandersanchez.exemplars10
relfamily	agnostic	36824	alexandersanchez.exemplars10
gender	f	36824	alexandersanchez.exemplars10
religion	none	36824	alexandersanchez.exemplars10
state	null	36824	alexandersanchez.exemplars10
citizenship	us	36824	alexandersanchez.exemplars10
residence	us	36824	alexandersanchez.exemplars10
raceethnic	white	36824	alexandersanchez.exemplars10
birthmonth	1	199747	alexandersanchez.exemplars10
multi_asian	1	199747	alexandersanchez.exemplars10
multi_black	1	199747	alexandersanchez.exemplars10
multi_hispanic	1	199747	alexandersanchez.exemplars10
multi_middleeastern	1	199747	alexandersanchez.exemplars10
multi_native	1	199747	alexandersanchez.exemplars10
multi_pacificislander	1	199747	alexandersanchez.exemplars10
multi_white	1	199747	alexandersanchez.exemplars10
politicalid	1	199747	alexandersanchez.exemplars10
birthyear	2020	199747	alexandersanchez.exemplars10
religionid	4	199747	alexandersanchez.exemplars10
genoccupation	43-	199747	alexandersanchez.exemplars10
occupation	43-5000	199747	alexandersanchez.exemplars10
education	8	199747	alexandersanchez.exemplars10
relfamily	antiochian	199747	alexandersanchez.exemplars10
residence	bo	199747	alexandersanchez.exemplars10
religion	catholic	199747	alexandersanchez.exemplars10
raceethnic	multi	199747	alexandersanchez.exemplars10
gender	null	199747	alexandersanchez.exemplars10
citizenship	us	199747	alexandersanchez.exemplars10
religionid	1	259952	alexandersanchez.exemplars10
birthmonth	12	259952	alexandersanchez.exemplars10
birthyear	1957	259952	alexandersanchez.exemplars10
politicalid	2	259952	alexandersanchez.exemplars10
genoccupation	25-	259952	alexandersanchez.exemplars10
occupation	25-4000	259952	alexandersanchez.exemplars10
education	9	259952	alexandersanchez.exemplars10
relfamily	anglican	259952	alexandersanchez.exemplars10
reldenom	episcopalian	259952	alexandersanchez.exemplars10
gender	f	259952	alexandersanchez.exemplars10
religion	protestant	259952	alexandersanchez.exemplars10
residence	sm	259952	alexandersanchez.exemplars10
citizenship	us	259952	alexandersanchez.exemplars10
state	wa	259952	alexandersanchez.exemplars10
raceethnic	white	259952	alexandersanchez.exemplars10
religionid	1	381342	alexandersanchez.exemplars10
birthyear	1963	381342	alexandersanchez.exemplars10
birthmonth	2	381342	alexandersanchez.exemplars10
genoccupation	2931	381342	alexandersanchez.exemplars10
politicalid	3	381342	alexandersanchez.exemplars10
occupation	31-9000	381342	alexandersanchez.exemplars10
education	5	381342	alexandersanchez.exemplars10
citizenship	ca	381342	alexandersanchez.exemplars10
gender	f	381342	alexandersanchez.exemplars10
reldenom	otherchristian	381342	alexandersanchez.exemplars10
relfamily	otherchristian	381342	alexandersanchez.exemplars10
religion	protestant	381342	alexandersanchez.exemplars10
residence	us	381342	alexandersanchez.exemplars10
state	wa	381342	alexandersanchez.exemplars10
