session_id	 user_id	 study_name	 session_date	 session_status	 creation_date	 last_update_date	  previous_session_id	 previous_session_schema	 referrer	  study_url	 user_agent
14750169	11798485	alexandersanchez.exemplars8	09Sep2021 20:55:24	null	09Sep2021 20:55:24	NULL 	14750141	r	https://calhr.blackboard.com/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 11_5_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36
14750171	11798492	alexandersanchez.exemplars8	09Sep2021 20:55:42	null	09Sep2021 20:55:42	NULL 	2659663890	s	https://vpfa.uoregon.edu/implicit-bias-awareness-monthevents-and-resources-february-2018	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0
14750177	11798491	alexandersanchez.exemplars8	09Sep2021 20:56:20	null	09Sep2021 20:56:20	NULL 	2659663887	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (X11; CrOS x86_64 13904.97.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.167 Safari/537.36
14750185	11798494	alexandersanchez.exemplars8	09Sep2021 20:57:21	null	09Sep2021 20:57:21	NULL 	14750180	r	https://rutgers.instructure.com/courses/136232/assignments/1624549	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750198	11798442	alexandersanchez.exemplars8	09Sep2021 20:58:31	null	09Sep2021 20:58:31	NULL 	14750152	r	https://form.jotform.com/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750216	11796521	alexandersanchez.exemplars8	09Sep2021 21:03:00	null	09Sep2021 21:03:00	NULL 	14750161	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73
14750233	11798511	alexandersanchez.exemplars8	09Sep2021 21:07:09	null	09Sep2021 21:07:09	NULL 	2659664252	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36
14750242	189992	alexandersanchez.exemplars8	09Sep2021 21:07:58	null	09Sep2021 21:07:58	NULL 	2659664314	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
14750244	11798504	alexandersanchez.exemplars8	09Sep2021 21:08:20	null	09Sep2021 21:08:20	NULL 	2659664321	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750250	11798471	alexandersanchez.exemplars8	09Sep2021 21:09:15	null	09Sep2021 21:09:15	NULL 	14750248	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (X11; CrOS x86_64 12239.92.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.136 Safari/537.36
14750256	11618929	alexandersanchez.exemplars8	09Sep2021 21:11:16	null	09Sep2021 21:11:16	NULL 	0	null	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15
14750260	11798513	alexandersanchez.exemplars8	09Sep2021 21:11:49	null	09Sep2021 21:11:49	NULL 	2659664326	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (X11; CrOS x86_64 13982.88.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.162 Safari/537.36
14750275	11798523	alexandersanchez.exemplars8	09Sep2021 21:14:02	null	09Sep2021 21:14:02	NULL 	14750268	r	https://bb.uwa.edu/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750280	11793944	alexandersanchez.exemplars8	09Sep2021 21:14:31	null	09Sep2021 21:14:31	NULL 	14750229	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
14750289	11798453	alexandersanchez.exemplars8	09Sep2021 21:15:38	null	09Sep2021 21:15:38	NULL 	14750220	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
14750302	11798528	alexandersanchez.exemplars8	09Sep2021 21:16:51	null	09Sep2021 21:16:51	NULL 	2659664516	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36
14750304	11798534	alexandersanchez.exemplars8	09Sep2021 21:17:17	null	09Sep2021 21:17:17	NULL 	2659664595	s	https://facebook.csod.com/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750312	11795503	alexandersanchez.exemplars8	09Sep2021 21:17:54	null	09Sep2021 21:17:54	NULL 	0	null	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.38
14750325	11798527	alexandersanchez.exemplars8	09Sep2021 21:18:56	null	09Sep2021 21:18:56	NULL 	14750272	r	https://www.google.com/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750352	11798540	alexandersanchez.exemplars8	09Sep2021 21:21:00	null	09Sep2021 21:21:00	NULL 	14750344	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750367	11798516	alexandersanchez.exemplars8	09Sep2021 21:24:11	null	09Sep2021 21:24:11	NULL 	14750263	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.67
14750375	11798519	alexandersanchez.exemplars8	09Sep2021 21:26:07	null	09Sep2021 21:26:07	NULL 	14750266	r	https://tcsedsystem.instructure.com/courses/108176/discussion_topics/1068839	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750404	11798556	alexandersanchez.exemplars8	09Sep2021 21:33:32	null	09Sep2021 21:33:32	NULL 	2659665031	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36
14750418	11795722	alexandersanchez.exemplars8	09Sep2021 21:34:38	null	09Sep2021 21:34:38	NULL 	14750412	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (X11; CrOS x86_64 13729.72.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.116 Safari/537.36
14750423	11798559	alexandersanchez.exemplars8	09Sep2021 21:35:14	null	09Sep2021 21:35:14	NULL 	2659665062	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36
14750462	11798563	alexandersanchez.exemplars8	09Sep2021 21:43:24	null	09Sep2021 21:43:24	NULL 	2659665169	s	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36
14750503	11798524	alexandersanchez.exemplars8	09Sep2021 21:50:53	null	09Sep2021 21:50:53	NULL 	14750397	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36 Edg/93.0.961.38
14750517	11798566	alexandersanchez.exemplars8	09Sep2021 21:55:05	null	09Sep2021 21:55:05	NULL 	14750461	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750523	11792873	alexandersanchez.exemplars8	09Sep2021 21:56:36	null	09Sep2021 21:56:36	NULL 	14750521	r	https://implicit.harvard.edu/implicit/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750533	11798578	alexandersanchez.exemplars8	09Sep2021 21:58:02	null	09Sep2021 21:58:02	NULL 	14750506	r	https://cbiz.sumtotal.host/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.63 Safari/537.36
14750536	11798583	alexandersanchez.exemplars8	09Sep2021 21:58:29	null	09Sep2021 21:58:29	NULL 	2659665722	s	https://www.google.com/	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (X11; CrOS x86_64 13982.88.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.162 Safari/537.36
14750545	11798587	alexandersanchez.exemplars8	09Sep2021 21:59:50	null	09Sep2021 21:59:50	NULL 	14750540	r	https://implicit.harvard.edu/implicit/Study?tid=-1	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15
14750551	11798588	alexandersanchez.exemplars8	09Sep2021 22:00:26	null	09Sep2021 22:00:26	NULL 	2659665768	s	https://implicit.harvard.edu/implicit/RegistrationComplete	/user/alexandersanchez/exemplars8/alexandersanchez.exemplars8.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0
