characteristic	 value	 user_id	 study_name	 
religionid	1	883606	alexandersanchez.exemplarsrep2
birthyear	1988	883606	alexandersanchez.exemplarsrep2
politicalid	3	883606	alexandersanchez.exemplarsrep2
genoccupation	53-	883606	alexandersanchez.exemplarsrep2
occupation	53-2000	883606	alexandersanchez.exemplarsrep2
education	7	883606	alexandersanchez.exemplarsrep2
birthmonth	9	883606	alexandersanchez.exemplarsrep2
relfamily	agnostic	883606	alexandersanchez.exemplarsrep2
citizenship	es	883606	alexandersanchez.exemplarsrep2
residence	es	883606	alexandersanchez.exemplarsrep2
raceethnic	hispanic	883606	alexandersanchez.exemplarsrep2
gender	m	883606	alexandersanchez.exemplarsrep2
religion	none	883606	alexandersanchez.exemplarsrep2
religionid	1	10672856	alexandersanchez.exemplarsrep2
education	12	10672856	alexandersanchez.exemplarsrep2
birthyear	1966	10672856	alexandersanchez.exemplarsrep2
birthmonth	2	10672856	alexandersanchez.exemplarsrep2
genoccupation	25-	10672856	alexandersanchez.exemplarsrep2
occupation	25-1000	10672856	alexandersanchez.exemplarsrep2
politicalid	3	10672856	alexandersanchez.exemplarsrep2
state	md	10672856	alexandersanchez.exemplarsrep2
religion	none	10672856	alexandersanchez.exemplarsrep2
gender	null	10672856	alexandersanchez.exemplarsrep2
relfamily	othernone	10672856	alexandersanchez.exemplarsrep2
citizenship	us	10672856	alexandersanchez.exemplarsrep2
residence	us	10672856	alexandersanchez.exemplarsrep2
raceethnic	white	10672856	alexandersanchez.exemplarsrep2
birthyear	1949	10866939	alexandersanchez.exemplarsrep2
genoccupation	2931	10866939	alexandersanchez.exemplarsrep2
birthmonth	3	10866939	alexandersanchez.exemplarsrep2
politicalid	3	10866939	alexandersanchez.exemplarsrep2
occupation	31-9000	10866939	alexandersanchez.exemplarsrep2
religionid	4	10866939	alexandersanchez.exemplarsrep2
education	9	10866939	alexandersanchez.exemplarsrep2
raceethnic	black	10866939	alexandersanchez.exemplarsrep2
religion	buddhist	10866939	alexandersanchez.exemplarsrep2
gender	m	10866939	alexandersanchez.exemplarsrep2
relfamily	mahayana	10866939	alexandersanchez.exemplarsrep2
state	ny	10866939	alexandersanchez.exemplarsrep2
residence	sm	10866939	alexandersanchez.exemplarsrep2
citizenship	us	10866939	alexandersanchez.exemplarsrep2
politicalid	-3	10931416	alexandersanchez.exemplarsrep2
birthmonth	10	10931416	alexandersanchez.exemplarsrep2
religionid	2	10931416	alexandersanchez.exemplarsrep2
birthyear	2001	10931416	alexandersanchez.exemplarsrep2
genoccupation	41-	10931416	alexandersanchez.exemplarsrep2
occupation	41-2000	10931416	alexandersanchez.exemplarsrep2
education	5	10931416	alexandersanchez.exemplarsrep2
religion	catholic	10931416	alexandersanchez.exemplarsrep2
state	ga	10931416	alexandersanchez.exemplarsrep2
gender	m	10931416	alexandersanchez.exemplarsrep2
relfamily	otherorthodox	10931416	alexandersanchez.exemplarsrep2
citizenship	us	10931416	alexandersanchez.exemplarsrep2
residence	us	10931416	alexandersanchez.exemplarsrep2
raceethnic	white	10931416	alexandersanchez.exemplarsrep2
religionid	1	10954746	alexandersanchez.exemplarsrep2
birthmonth	11	10954746	alexandersanchez.exemplarsrep2
birthyear	1997	10954746	alexandersanchez.exemplarsrep2
politicalid	3	10954746	alexandersanchez.exemplarsrep2
education	5	10954746	alexandersanchez.exemplarsrep2
genoccupation	9998	10954746	alexandersanchez.exemplarsrep2
gender	f	10954746	alexandersanchez.exemplarsrep2
relfamily	nondenominational	10954746	alexandersanchez.exemplarsrep2
religion	none	10954746	alexandersanchez.exemplarsrep2
reldenom	null	10954746	alexandersanchez.exemplarsrep2
citizenship	se	10954746	alexandersanchez.exemplarsrep2
residence	sm	10954746	alexandersanchez.exemplarsrep2
raceethnic	white	10954746	alexandersanchez.exemplarsrep2
politicalid	-1	11021410	alexandersanchez.exemplarsrep2
multi_white	1	11021410	alexandersanchez.exemplarsrep2
birthmonth	11	11021410	alexandersanchez.exemplarsrep2
education	14	11021410	alexandersanchez.exemplarsrep2
birthyear	1962	11021410	alexandersanchez.exemplarsrep2
genoccupation	25-	11021410	alexandersanchez.exemplarsrep2
occupation	25-1000	11021410	alexandersanchez.exemplarsrep2
religionid	3	11021410	alexandersanchez.exemplarsrep2
gender	f	11021410	alexandersanchez.exemplarsrep2
reldenom	friend	11021410	alexandersanchez.exemplarsrep2
state	ma	11021410	alexandersanchez.exemplarsrep2
raceethnic	multi	11021410	alexandersanchez.exemplarsrep2
multi_asian	null	11021410	alexandersanchez.exemplarsrep2
multi_black	null	11021410	alexandersanchez.exemplarsrep2
multi_hispanic	null	11021410	alexandersanchez.exemplarsrep2
multi_middleeastern	null	11021410	alexandersanchez.exemplarsrep2
multi_native	null	11021410	alexandersanchez.exemplarsrep2
multi_pacificislander	null	11021410	alexandersanchez.exemplarsrep2
relfamily	otherchristian	11021410	alexandersanchez.exemplarsrep2
religion	protestant	11021410	alexandersanchez.exemplarsrep2
citizenship	us	11021410	alexandersanchez.exemplarsrep2
residence	us	11021410	alexandersanchez.exemplarsrep2
birthyear	1955	11042007	alexandersanchez.exemplarsrep2
politicalid	2	11042007	alexandersanchez.exemplarsrep2
