session_id	 task_number	 task_id	 task_url	 user_agent	 study_url	 task_status	 task_sequence	 task_creation_date	user_id	 study_name	 session_date	 session_status	 session_creation_date	 session_created_by	 session_last_update_date 
15078233	0	pimgr	/common/all/js/minnojs/0.3.jsp?i=/implicit//user/alexandersanchez/exemplarsrep2/exemplarsrep2.mgr.js&	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:01:15	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	1	consent	consent.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:01:15	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	2	realstart	realstart.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:02:08	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	3	control_intro	control_intro.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:03:04	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	4	control_learn	control_learn.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:04:04	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	5	control_intro2v2	control_intro2v2.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:05:32	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	6	control_learn2v2	control_learn2v2.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:06:11	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	7	race_instiat	race_instiat.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:07:07	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	8	race_iat	race_iat.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:07:49	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
15078233	9	control_explicit	control_explicit.js	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36	/user/alexandersanchez/exemplarsrep2/alexandersanchez.exemplarsrep2.expt.xml	null	null	16Nov2021 23:11:37	11879303	alexandersanchez.exemplarsrep2	16Nov2021 23:01:15	null	16Nov2021 23:01:15	YUIAT_RESEARCH_USER	NULL 
